Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
984650186,FERRONAM OROSOLUBILE 30BUST,0,349,12.58,5,3,0.84,t,f,HELD_rete_pos
900351255,STRESS STOP GTT 30ML,3,806,18.34,2,3,0.84,t,f,HELD_basket
989415373,SUSTENIUM PLUS 50+ 15FL,12,290,12.13,6,3,0.84,t,f,HELD_rete_pos
981079864,BIOARGININA C ORALE 20FL,25,2578,16.09,4,3,0.84,t,f,HELD_basket
982514364,BIOREM GOCCE 30ML,0,130,11.38,4,3,0.84,f,f,GROSSISTA_netto
990312946,MULTICENTRUM D50+ 30CPR PROM26,4,0,13.18,3,3,0.84,f,f,MAGAZZINO_netto
980817201,THOTALE OLIO 31 100ML,6,25,9.15,1,3,0.84,f,t,MAGAZZINO_netto
000367072,"TISANA KELEMATA*20BUST 1,3G",7,78,6.31,1,3,0.84,f,f,MAGAZZINO_netto
949500692,TOTAL DEP 500ML,0,114,14.40,7,3,0.84,t,f,HELD_rete_pos
005170028,TRAVELGUM*10GOMME MAST 20MG,19,100,6.69,6,3,0.84,t,f,HELD_rete_pos
944137102,MYCLI HA PLAST CREMA CRP 200ML,5,0,55.04,1,3,0.84,f,t,HELD_basket
047939020,VOLTADEXI*20CPR RIV 200MG,4,342,7.69,9,3,0.84,f,f,HELD_basket
027244072,FLOMAX*OS GRAT 20BUST 350MG,84,899,8.71,10,3,0.84,t,t,HELD_basket
932160676,SALI THALASSO TERMALI 10BUST,7,0,19.00,1,3,0.84,f,t,MAGAZZINO_netto
908646944,VITAMINDERMINA OSSIDO ZINC50ML,0,335,7.77,3,3,0.84,f,f,GROSSISTA_netto
907152882,VASODREN 30CPR FILMATE,0,825,16.66,7,3,0.84,t,f,HELD_basket
976203950,FRUTTA & FIBRE CLASSICO 30CPR,0,136,8.75,6,3,0.84,t,f,HELD_rete_pos
931114298,VEA MINILIPOGEL IDR PROT 10ML,0,102,9.11,3,3,0.84,t,f,HELD_rete_pos
024180010,BRUFEN ANTINFIAMMAT*GEL 40G 5%,14,353,4.29,2,3,0.84,t,f,HELD_basket
006979049,BUSCOPAN*6SUPP 10MG,0,150,8.19,3,3,0.84,t,f,HELD_rete_pos
950267207,ESI DEPURERBE FORTE 60CPR,6,60,12.87,8,3,0.84,t,t,HELD_rete_pos
903964575,ELASTOVEN 30CPR,0,189,19.28,8,3,0.84,t,f,HELD_rete_pos
033656442,ENANTYUM*20CPR RIV 25MG,37,130,5.81,8,3,0.84,t,t,HELD_basket
906648997,EOS DEO FRESH DEODORANTE SPRAY,0,179,6.92,5,3,0.84,t,f,HELD_rete_pos
933496275,GASTROSAVE 30CPR,0,79,11.90,5,3,0.84,t,f,HELD_rete_pos
982941698,ESENTA FILM PROT SPRAY 50ML,0,91,10.05,2,3,0.84,f,f,GROSSISTA_netto
979843632,CANDIDAX MED 30CPR,0,52,11.93,9,3,0.84,f,f,GROSSISTA_netto
979012085,CAPELLI ACT FORTE 30CPR,13,35,8.24,1,3,0.84,f,t,MAGAZZINO_netto
970503114,TIAGIN FAST 10CPS VAGINALI SOF,0,442,14.64,6,3,0.84,t,f,HELD_basket
921177655,ERMIDRA' SPRAY 300ML,0,574,17.08,4,3,0.84,t,f,HELD_rete_pos
931855819,REMOVER STOMIA SALVIETTE 30PZ,0,108,7.94,5,3,0.84,t,f,HELD_rete_pos
974088876,EKEEP K1 POSTURE KEEPER D BI 5,3,0,74.06,3,3,0.84,f,f,MAGAZZINO_netto
904303144,IALUSET CREMA 25G,9,371,5.77,6,3,0.84,f,f,HELD_basket
983278209,METILBEN 30CPR,0,52,20.25,6,3,0.84,f,f,GROSSISTA_netto
970371706,PROPAUSA GEL INTIMO 30ML,0,40,11.37,7,3,0.84,t,f,HELD_rete_pos
938467545,MAGNESIO CLORURO POLV 500G,0,111,8.50,3,3,0.84,f,f,GROSSISTA_netto
984520332,DERMACOTONE PANN MUT L 12PZ,0,72,7.90,3,3,0.84,f,f,GROSSISTA_netto
974109276,CERAVE CREMA IDRATANTE 50ML,0,183,6.55,14,3,0.84,f,f,GROSSISTA_netto
972790404,STOMODINE F 30ML,0,708,13.54,5,3,0.84,t,f,HELD_rete_pos
987067042,SANAVITA MACROCOL PLUS 20BUST,0,31,8.06,15,3,0.84,t,f,GROSSISTA_netto
985722483,KIJIMEA K53 ADVANCE 56CPS,0,183,45.65,6,3,0.84,t,f,HELD_basket
913228072,CLEARBLUE RILEVAZIONE RAPIDA1P,15,240,5.02,7,3,0.84,f,t,MAGAZZINO_netto
971715976,NORAD 30CPR 900MG,0,163,20.64,7,3,0.84,t,f,HELD_rete_pos
912344734,MENOCOMPLEX 60CPS,0,100,19.89,7,3,0.84,t,f,HELD_rete_pos
902020116,SACCA UR LETTO 2L 90CM 30PZ,0,56,14.24,5,3,0.84,t,f,HELD_rete_pos
033656214,ENANTYUM*10BUST OS GRAT 25MG,6,112,3.98,2,3,0.84,f,f,MAGAZZINO_netto
982178028,ESI SERENESI 60NATURCAPS,0,62,13.03,2,3,0.84,f,f,HELD_basket
989979772,GLICOPROTECT 30CPR,0,120,17.77,9,3,0.84,t,f,HELD_rete_pos
005781048,MAGNESIA BISURATA AROM*80CPR,15,206,12.69,7,3,0.84,t,f,HELD_basket
931601102,IALUSET PLUS GARZA 10X10 10PZ,6,287,8.41,5,3,0.84,t,t,HELD_rete_pos
978396366,MAGCOMBO 20CPS,0,296,13.28,6,3,0.84,t,f,HELD_rete_pos
980644254,MARKEUTICALS FOCAL A/DHT 45CPR,0,202,26.60,6,3,0.84,t,f,HELD_rete_pos
908620545,GIO' MUTANDINA CORRETTIVA 1,0,19,39.19,2,3,0.84,t,f,HELD_rete_pos
021004179,BISOLVON*SCIR FL 200ML 8MG/5ML,339,1224,7.92,1,3,0.84,f,t,HELD_basket
019875095,CONNETTIVINA*GEL 30G 2MG/G,0,86,11.67,1,3,0.84,t,f,HELD_basket
945098325,REUTERAL PET CANE 30CPS,0,866,13.38,6,3,0.84,t,f,HELD_basket
937494488,CONVEEN OPTIMA GUAINA 30MM 30P,0,67,56.89,5,3,0.84,t,f,HELD_rete_pos
971357013,OTTOCID PLUS 300ML,3,251,5.99,5,3,0.84,f,f,HELD_basket
984599744,ALTRAPELLE MEDICAL ONICO SOLUZ,3,78,9.47,1,3,0.84,f,f,HELD_basket
983832825,COXALT 20CPR,0,111,14.51,1,3,0.84,t,f,HELD_rete_pos
985917943,POLIDENT POWER MAX SUPER 40G,4,148,5.89,4,3,0.84,f,f,MAGAZZINO_netto
944779343,PROMENSIL MENOPAUSA 90CPR,0,138,44.84,4,3,0.84,t,f,HELD_rete_pos
987221456,CUMAVIS CREMA 100ML,0,30,16.32,4,3,0.84,f,f,GROSSISTA_netto
927100267,SENSURA MIO CL PLAC 60MM 15-40,0,3,35.13,1,3,0.84,f,f,GROSSISTA_netto
987718792,ORALB POWER ORAL CENTER+IO6,0,69,180.10,8,3,0.84,f,f,GROSSISTA_netto
004853053,VALERIANA DISPERT*20CPR 125MG,7,150,7.42,1,3,0.84,t,t,HELD_rete_pos
926568167,DERCOS SH ANTIFORFORA SECCHI,61,524,11.46,4,3,0.84,f,f,MAGAZZINO_netto
943921597,MASSIGEN MULTIGUMMY 60CARAM,5,512,4.37,1,3,0.84,t,t,HELD_basket
988043598,NAUZEN GOCCE 20ML,0,78,9.44,1,3,0.84,f,f,HELD_basket
984632644,ROSA CANINA ESTR INTE TIT 500G,0,31,44.58,2,3,0.84,t,f,HELD_rete_pos
980078810,NEO EMOFORM WHIT DENTIF 100ML,0,104,4.52,2,3,0.84,f,f,GROSSISTA_netto
913228096,CLEARBLUE INDICATORE SETT 1PZ,21,440,7.44,7,3,0.84,t,f,HELD_rete_pos
982999260,DEFENCE SUN B&K LATTE SPR 50+,0,160,17.28,1,3,0.84,t,f,HELD_rete_pos
931581678,W CARE 14BUST 8G,0,152,39.66,1,3,0.84,t,f,HELD_rete_pos
989666538,DUALSAN SLIP U CONTENIT GRI 3,3,13,53.04,6,3,0.84,f,f,MAGAZZINO_netto
947477422,MYCLI SOFT PEEL 50ML,3,0,31.41,1,3,0.84,f,f,HELD_basket
979418377,AVEENO CREMA IDRAT CORPO LAVAN,26,0,7.28,4,3,0.84,f,f,HELD_basket
987419518,YMEA PANCIA PIATTA 64CPS PROMO,4,0,26.98,3,3,0.84,f,f,MAGAZZINO_netto
987743945,EKEEP B3 SURGICAL BRA POST BI6,3,0,54.87,1,3,0.84,f,f,MAGAZZINO_netto
989869108,DEO PRO ALLERGY VAPO100G PROMO,6,0,6.19,4,3,0.84,f,f,MAGAZZINO_netto
989976838,BAKEL NIA TECH CR NORM CASE&RE,1,0,120.00,,3,0.84,f,f,HELD_basket
975979358,HYPEROIL TUBO GEL 30ML PROCTO,0,63,19.82,7,3,0.84,f,f,HELD_basket
990001861,ZZZQUIL SONNO+ ANTISTRESS28CPS,23,100,10.13,7,3,0.84,t,f,HELD_rete_pos
012745081,TACHIPIRINA*BB OS GTT 30ML 10%,47,544,3.92,3,3,0.84,t,f,HELD_rete_pos
974109201,CERAVE LOZIONE IDRATANTE 236ML,8,116,9.26,10,3,0.84,t,f,HELD_basket
028122063,"ONILAQARE*SMALTO UNGHIE 2,5ML",0,219,23.99,9,3,0.84,t,f,HELD_basket
001740063,ALLERGAN*CREMA 30G 2G/100G,33,122,3.68,5,3,0.84,t,t,HELD_rete_pos
938777695,DIMANN DAILY 100CPR,0,127,38.37,8,3,0.84,t,f,HELD_rete_pos
944257637,SIERO GEL CONTORNO OCCHI CAFF,3,7,6.38,2,3,0.84,f,f,HELD_basket
981212501,SOMAT SKIN EX VISO 4D FILL OC,9,0,21.58,2,3,0.84,f,t,MAGAZZINO_netto
985723675,PEDIAVIT GOCCE 15ML,0,369,15.81,4,3,0.84,f,f,GROSSISTA_netto
900928944,LIQUIRIZIA SPEZZATINA BUST100G,0,201,4.22,1,3,0.84,t,f,HELD_rete_pos
901730313,GEHWOL CR ANTISCREPOLATURE75ML,0,307,10.00,8,3,0.84,f,f,GROSSISTA_netto
037291046,CAREXIDIL*SOLUZ CUT 60ML 2%,0,115,15.46,5,2,0.56,t,f,HELD_rete_pos
970362404,LEGEL CREMA-GEL 150ML,0,115,18.24,4,2,0.56,t,f,HELD_rete_pos
933953578,CORTIPET 50ML,0,218,14.22,4,2,0.56,f,f,GROSSISTA_netto
910597501,CLOREXYDERM SH 4% 250ML,0,88,17.31,10,2,0.56,t,f,HELD_rete_pos
909137414,RILASTIL INTEN CR NTT 50ML,0,139,30.05,3,2,0.56,t,f,HELD_rete_pos
977449026,COLLUTO3 COLLUTORIO OZONO250ML,0,108,11.66,6,2,0.56,t,f,HELD_rete_pos
975816315,COLPHARMA MAGNETO CARE HOME,0,9,186.52,10,2,0.56,f,f,GROSSISTA_netto
983801630,ZYMEREX COLON E STRESS 24CPR,0,204,11.02,7,2,0.56,t,f,HELD_rete_pos
037291010,CAREXIDIL*SOLUZ CUT 60ML 5%,0,210,32.95,2,2,0.56,f,f,GROSSISTA_netto
980860148,LINEAGIN GEL 6APPLX5ML,0,265,12.19,8,2,0.56,t,f,HELD_rete_pos
939266589,IRIDIUM BABY GARZA OCUL 28PZ,8,258,13.62,4,2,0.56,f,f,MAGAZZINO_netto
978476380,COBAXIL B12 5000MCG 5CPR SUNBL,0,767,27.22,7,2,0.56,t,f,HELD_rete_pos
983801667,ZYMEREX GONFIORE FLUID AN15BUS,0,35,10.98,8,2,0.56,t,f,HELD_rete_pos
976329387,EMOFORM DENT FORTE CREMA ADES,10,157,8.84,4,2,0.56,f,f,MAGAZZINO_netto
931432506,FLOGANDET CREMA DETERGENTE,0,299,14.21,8,2,0.56,f,f,GROSSISTA_netto
986118228,BETAMETIL 1000 4CPR SUBLINGUAL,0,1352,11.05,3,2,0.56,t,f,HELD_rete_pos
942983267,ZINCOGEN PET IMMUNO 60CPR,0,471,22.09,9,2,0.56,t,f,HELD_rete_pos
976207973,OROBEN COLLUTORIO 150ML,0,402,10.65,12,2,0.56,t,f,HELD_basket
980770414,ZENTIVA GOOD NIGHT 30CPR,0,216,10.74,13,2,0.56,f,f,GROSSISTA_netto
945015143,CALEMA NIGHT 30CPS MOLLI,0,150,14.62,4,2,0.56,f,f,GROSSISTA_netto
024596153,FLUIBRON*AER 20FL 15MG 2ML,16,742,13.42,5,2,0.56,t,f,HELD_basket
988159188,COLPHARMA ANEROID KIT C/FONEND,7,0,34.48,1,2,0.56,f,t,MAGAZZINO_netto
942260326,EUPHIDRA AMIDO INTIMO GEL,0,49,6.58,15,2,0.56,f,f,GROSSISTA_netto
980258925,COLIN A 600 30F 10ML,0,234,42.54,6,2,0.56,t,f,HELD_basket
935619371,HAIMAFERR 30CPS,0,224,15.23,7,2,0.56,t,f,HELD_rete_pos
982543985,GUM TRAV-LER SCOVOLINI 10PZ,0,80,5.89,10,2,0.56,t,f,HELD_rete_pos
986967533,XAMAMINA REFLUSSO 0-12 200ML,0,633,11.99,7,2,0.56,t,f,HELD_rete_pos
944800984,LONGLIFE QUERCETINA 200 60CPR,0,107,14.68,6,2,0.56,t,f,HELD_rete_pos
984554915,GUAM PANTASLIM CRYO+RIC3X100ML,0,67,22.79,6,2,0.56,f,f,GROSSISTA_netto
977629219,VITIS SENSITIVE DENTIF 100ML,6,321,5.40,2,2,0.56,f,t,MAGAZZINO_netto
979406752,CAPELLI LOZIONE CAPELLI RIVIT,0,198,11.98,9,2,0.56,f,f,GROSSISTA_netto
976014504,LYPEX 60CPS,0,68,100.64,12,2,0.56,t,f,GROSSISTA_netto
934983786,COLLAGENIL RE-PULP 3D 50ML,0,90,37.50,7,2,0.56,t,f,HELD_rete_pos
982515696,VITAMINDERMINA GEL ANTI SFREG,0,33,9.34,11,2,0.56,f,f,GROSSISTA_netto
985992775,PSIPROTO CACAO 300G,0,175,52.03,5,2,0.56,t,f,HELD_rete_pos
970540910,ORTICA ESTRATTO INTEGRALE200ML,0,27,15.97,3,2,0.56,f,f,GROSSISTA_netto
984868962,GYNEXELLE INTI MOUSSE 150ML,0,66,11.33,5,2,0.56,t,f,HELD_basket
975906710,HERBATINT 3DOSI 7N 300ML,0,92,15.92,5,2,0.56,t,f,HELD_rete_pos
032072062,"HYALISTIL*0,2% COLL FL 5ML",0,110,14.13,1,2,0.56,f,f,GROSSISTA_netto
976310882,W LIFE 60CPR,0,204,16.45,1,2,0.56,t,f,HELD_rete_pos
989252337,CERAVE MOUSSE DET RIEQUIL148ML,4,63,10.69,7,2,0.56,f,f,MAGAZZINO_netto
982892883,DEVAMIX 20STICK,0,393,22.01,4,2,0.56,t,f,HELD_rete_pos
938766793,GLUCOFIX TECH SENSOR 25STR,0,558,11.70,8,2,0.56,t,f,HELD_rete_pos
970540884,VITA ACT MULTIVITAMINICO 30CPR,24,245,3.93,9,2,0.56,t,t,HELD_rete_pos
986895795,KELUAL DS CREMA 40ML 23,3,489,13.66,8,2,0.56,t,f,HELD_basket
908621194,GEHWOL BALS RINFRESCANTE 75ML,0,89,9.61,7,2,0.56,f,f,GROSSISTA_netto
971968122,VICHY HOMME DEO ANTI-MACCHIE,8,158,8.19,3,2,0.56,t,f,HELD_rete_pos
044356020,BRUFEN DOLORE*OS 24BUST 40MG,10,105,5.20,3,2,0.56,t,f,HELD_basket
981294147,KIALUSEC PLUS COLLIRIO 10ML,0,13,15.43,4,2,0.56,f,f,GROSSISTA_netto
939014039,PROFAR TRONCHESE PELLE,4,0,8.18,1,2,0.56,f,f,MAGAZZINO_netto
924167341,VENAMIR 30OVAL,0,419,17.16,7,2,0.56,t,f,HELD_rete_pos
989815752,ESI MULTICOMPLEX VIT OFF24BUST,17,0,4.76,3,2,0.56,f,t,HELD_basket
947256804,FUSION WATER COLOR LIGHT 50ML,0,86,25.42,7,2,0.56,f,f,HELD_basket
935545552,VEBIX PHYTAMIN CREMA DEOD 1SET,0,267,6.14,7,2,0.56,t,f,HELD_rete_pos
947418238,MAXI COENZIMA Q10 30PRL,0,193,34.99,9,2,0.56,f,f,HELD_basket
989320041,KREOSS 20BUST,0,190,25.47,5,2,0.56,t,f,HELD_rete_pos
970701381,BRAVA SALVIETTE DET 15PZ,0,95,6.70,4,2,0.56,t,f,HELD_rete_pos
934857867,LACRIMALFA SOL OFTALMICA 10ML,0,259,7.99,3,2,0.56,f,f,GROSSISTA_netto
984865384,VERAVIS PLUS SUPR FERM LAT 90G,0,167,12.80,4,2,0.56,t,f,HELD_rete_pos
941181911,UV OFTAL SOL OFT LUB FOTOP10ML,0,207,18.30,9,2,0.56,t,f,HELD_rete_pos
920304680,MEDICBIO CREMA 50ML,0,141,14.00,2,2,0.56,t,f,HELD_rete_pos
905368763,MEDILEN GLOVE CREMA 50ML,0,55,16.44,3,2,0.56,f,f,GROSSISTA_netto
982941662,ESENTA RIMUOVI ADES SPRAY 50ML,0,229,10.24,6,2,0.56,t,f,HELD_rete_pos
908224064,LONGLIFE EPA DHA 60PRL,0,159,14.62,3,2,0.56,t,f,HELD_rete_pos
926243407,FORHANS GENGIFOR 30CPR,0,98,14.68,6,2,0.56,t,f,HELD_rete_pos
950831711,ORALB ADVANCED PROT GENG 75ML,6,76,4.05,5,2,0.56,f,t,MAGAZZINO_netto
941500910,LONGLIFE PROSTAFACTORS 60PRL,0,102,21.08,9,2,0.56,t,f,HELD_rete_pos
935586483,MERCUROCROMO MEDUSE SPRAY 50ML,0,210,8.72,4,2,0.56,t,f,HELD_rete_pos
974770505,FORHANS DENTIF SCUDO NAT 75ML,0,85,6.89,7,2,0.56,f,f,HELD_basket
989369917,NAUSIL FORTE SPRAY 24ML,3,100,14.39,2,2,0.56,f,f,MAGAZZINO_netto
947499481,GUNAVIT D3K2 30STICK 2G,6,250,20.89,6,2,0.56,t,f,HELD_rete_pos
979796000,AP 16 20CPS,0,177,15.59,4,2,0.56,t,f,HELD_rete_pos
978862326,ANTHELIOS SHAKA SPRAY 30 200ML,7,258,14.77,6,2,0.56,t,f,HELD_rete_pos
979383748,SODIO CLORURO 300CPS 500MG,0,129,34.22,6,2,0.56,t,f,HELD_rete_pos
913205314,ELICRYSO OLIO DET INTIMO 100ML,0,597,12.92,9,2,0.56,f,f,GROSSISTA_netto
021004041,BISOLVON*LINCTUS SCIR FL 250ML,18,0,9.99,2,2,0.56,f,t,HELD_basket
902309095,SFIGMOMANOMETRO ANER C/FONE 1P,4,0,12.16,1,2,0.56,f,f,MAGAZZINO_netto
943186294,TRIO DIGERACID 24CPR,0,30,8.94,14,2,0.56,f,f,GROSSISTA_netto
911033278,MEPILEX MEDIC AS 10X10CM 5PZ,0,291,18.18,10,2,0.56,t,f,HELD_rete_pos
979406802,DENTIFRICIO RATANIA 75ML,0,59,6.12,8,2,0.56,f,f,HELD_basket
900759705,TRICONICON PHARCOS 30CPR,0,255,17.71,8,2,0.56,t,f,HELD_rete_pos
042311011,MINOXIDIL BIORGA*SOL CUT60ML5%,0,100,30.49,7,2,0.56,t,f,HELD_rete_pos
027757044,FLECTOR*10CER MEDIC 180MG,3,373,11.88,7,2,0.56,t,f,HELD_rete_pos
034329110,TACHIPIRINA FLASHTAB*12CPR 125,5,100,5.48,5,2,0.56,f,f,MAGAZZINO_netto
940037637,TRANSPARENT SPRAY WET PEDIAT50,0,166,25.57,9,2,0.56,t,f,HELD_rete_pos
027032059,"NAAXIA*COLL 10ML 4,9%",0,186,15.69,3,2,0.56,f,f,GROSSISTA_netto
985493980,EKEEP N3 EPIKEEP BRACCIALE TEN,14,8,48.77,3,2,0.56,f,t,HELD_basket
943992800,"BIOKAP NUTRIC DEL RAP 6,30 BIO",0,22,9.25,3,2,0.56,t,f,HELD_rete_pos
983173485,SERENITY SAG SD SENS SUP 30PZ,0,96,19.61,4,2,0.56,t,f,HELD_rete_pos
930924915,MIRTY 180 20BUST,0,54,19.22,8,2,0.56,t,f,HELD_rete_pos
985972013,MICROVENIL FORTE 20BUST,0,411,22.60,8,2,0.56,t,f,HELD_basket
982532842,TOLERIANE DERMALLERGO CR 40ML,6,335,19.34,8,2,0.56,t,f,HELD_basket
987409000,ECHIPREVENT 20STICK PACK,0,154,16.75,4,2,0.56,t,f,HELD_rete_pos
004905143,"PLACENTEX*SOL CUT 10F 0,75MG",0,14,17.74,1,2,0.56,f,f,GROSSISTA_netto
951335468,UPSA X NOURISHED SLEEP 30GG,7,24,13.08,2,2,0.56,f,f,HELD_basket
009209053,POTASSION*GRAT EFF 20BUST,0,161,15.25,1,2,0.56,t,f,HELD_rete_pos
944133646,COQUN COMBO 60CPR,0,172,46.94,5,2,0.56,t,f,HELD_rete_pos
907604603,TERRA VERGINE NATURALE 3000G,0,8,9.30,4,2,0.56,t,f,HELD_rete_pos
025829223,MOMENDOL*12CPS MOLLI 220MG,48,316,7.08,5,2,0.56,t,f,HELD_rete_pos
978305555,OVERLUZ 60PRL,0,274,31.57,1,2,0.56,t,f,HELD_rete_pos
025669348,MOMENT*OS SOSP 8BUST 200MG,0,338,4.34,1,2,0.56,t,f,HELD_rete_pos
982145029,AMIOIL CEROTTI 12PZ,0,139,17.72,6,2,0.56,f,f,GROSSISTA_netto
982532436,FLAVIS PAN RUSTICO 300G,0,233,5.91,5,2,0.56,f,f,GROSSISTA_netto
985999453,PROBIOTICO ACT 15CPS VEGETALI,40,517,3.76,8,2,0.56,t,t,HELD_rete_pos
935973521,THD CREAM EMORROIDI 30ML,0,137,14.79,3,2,0.56,t,f,HELD_rete_pos
921232649,PESCURA HEEL ORIG BYCAST SAB37,0,30,61.88,7,2,0.56,t,f,HELD_rete_pos
982476261,VITAMINA B12 ATTIVATA LIQ100ML,0,38,20.36,6,2,0.56,t,f,HELD_rete_pos
950991923,GLIALIA SOSPENSIONE ORAL20BUST,0,256,30.65,8,2,0.56,t,f,HELD_rete_pos
940086337,TANTUM VERDE SOS AFTE SPR 20ML,0,222,8.24,15,2,0.56,f,f,HELD_basket
982948693,BONEFORT 120CPS,0,32,49.92,1,2,0.56,t,f,HELD_rete_pos
920376581,SYSTANE ULTRA UD GTT OCUL 30FL,0,269,19.55,7,2,0.56,t,f,HELD_rete_pos
976396150,SWISSE UOMO 65+ MULTIVIT 30CPR,0,142,14.43,10,2,0.56,t,f,HELD_basket
932217060,STEVIA EDULCORANTE POLVERE 15G,0,54,6.23,4,2,0.56,t,f,HELD_rete_pos
970988059,STERI STRIP SKIN 6X75MM 6STR,0,88,8.48,7,2,0.56,f,f,HELD_basket
977809173,PAPIL-OFF OVULI VAGINALI 10PZ,0,94,17.75,6,2,0.56,f,f,GROSSISTA_netto
020708069,MYLICON*BB OS GTT 30ML,18,768,12.85,5,2,0.56,t,f,HELD_rete_pos
932077415,POLIDENT FREE 40G,15,582,5.18,1,2,0.56,t,f,HELD_rete_pos
970419646,SALVIA ESTRATTO INTEGRALE200ML,0,15,16.09,5,2,0.56,t,f,HELD_rete_pos
924177898,STERILPEG 10 BUSTINE MACROGOL,0,139,7.03,5,2,0.56,t,f,HELD_rete_pos
909429262,SPUGNA NAT MARE 3 GRANDE,0,89,5.25,8,2,0.56,f,f,GROSSISTA_netto
976395677,RIDUCELL TRATTAMENTO MIR 30CPR,0,57,7.39,9,2,0.56,f,f,GROSSISTA_netto
902508682,SERENIMAP 60CPR 500MG,0,247,20.31,9,2,0.56,t,f,HELD_rete_pos
023907140,BETADINE*10GARZE IMPREGN 10x10,11,170,6.46,5,2,0.56,t,t,HELD_rete_pos
023177090,NAPROSYN*OS 30BUST 250MG,0,74,7.98,1,2,0.56,f,f,HELD_basket
990860266,NORMAST MPS MICROGRANULI30BUST,0,2944,28.10,6,2,0.56,t,f,HELD_rete_pos
988771440,NARHINEL SOL FISIOL 60FL 5ML,31,375,6.49,3,2,0.56,t,t,HELD_basket
020213144,BENEXOL*20CPR GASTR FL,3,747,15.98,9,2,0.56,t,f,HELD_rete_pos
988248441,PAPILOCARE GEL VAGINALE 7X5ML,0,166,21.72,7,2,0.56,f,f,HELD_basket
984867972,OLIVIS-T PLUS PASTIGLIE 200G,0,15,43.63,9,2,0.56,t,f,HELD_rete_pos
004853026,VALERIANA DISPERT*60CPR 45MG,8,120,5.94,2,2,0.56,t,t,HELD_rete_pos
976305298,MUFLUIL RINOLOGICO 15F 2ML,0,145,12.37,2,2,0.56,t,f,HELD_rete_pos
986395770,ANACAPS REACTIV GEL 90U 90CPS,21,72,31.99,1,2,0.56,f,f,MAGAZZINO_netto
951215464,AVENE SOL ULTRA STICK SPF50,5,40,10.08,8,2,0.56,t,f,HELD_rete_pos
947130098,IPNOREM GOCCE 30ML,0,131,15.58,2,2,0.56,t,f,HELD_rete_pos
986112276,FERACHEL PRO 24CPS,3,57,20.61,1,2,0.56,f,f,MAGAZZINO_netto
903531578,SAUBER GAMBALETTO 70 LIS NE 3,4,26,11.24,5,2,0.56,f,f,MAGAZZINO_netto
904552611,NEBULA M2000+MASCHERA+RINOWASH,0,135,95.64,10,2,0.56,t,f,HELD_basket
944912423,SODIORAL INULINA 8BUST,0,6017,7.62,7,2,0.56,t,f,HELD_rete_pos
989874185,SOMAT SKIN EX RASS SENO 75ML,3,222,16.68,6,2,0.56,f,f,MAGAZZINO_netto
908620646,"SAUGELLA GEL INTIMO PH5,5 30ML",3,196,8.63,5,2,0.56,f,f,HELD_basket
922363748,BARIESUN SPF50+ CREME MINERALE,0,174,17.58,4,2,0.56,t,f,HELD_rete_pos
978598845,FOOTCARE PROT GEL 5 DITO C15,0,11,6.88,6,2,0.56,f,f,GROSSISTA_netto
989634567,FAVE DI FUCA GENTILE 40CPR NEW,7,55,6.53,1,2,0.56,t,t,HELD_rete_pos
938911308,FLORABALANCE ACTIVE 30CPS,0,62,15.73,3,2,0.56,t,f,HELD_rete_pos
934880865,URGOTUL AG/SILVER 10X12CM 5PZ,0,93,28.60,4,2,0.56,t,f,HELD_rete_pos
975701044,ALTRIENT LIPOSOMAL VITC 30BUST,0,371,53.33,9,2,0.56,t,f,HELD_basket
949990840,BIOKAP LOZIONE ANTIFORFORA NF,0,64,15.40,3,2,0.56,t,f,HELD_rete_pos
935602247,DELTACRIN WNT SHAMPOO PHARCOS,0,131,19.39,8,2,0.56,f,f,GROSSISTA_netto
984897583,QUINTON HYPERTONIC 30F 10ML,0,32,26.29,9,2,0.56,f,f,GROSSISTA_netto
947271134,SIBEN SPRAY NASALE 30ML,4,164,16.05,1,2,0.56,f,f,HELD_basket
911002184,SHAKTI CREMA VISO MOLYWIND,0,46,44.41,7,2,0.56,t,f,HELD_rete_pos
902904832,NEOXIDE 100ML,0,152,10.69,4,2,0.56,f,f,GROSSISTA_netto
987264215,SERENITY CARE CR BARRIERA ZINC,0,99,5.53,6,2,0.56,f,f,GROSSISTA_netto
989691124,SENSODYNE EP DOPPIA AZ DENTIF,6,255,4.33,3,2,0.56,f,f,HELD_basket
989332907,AVENE SOL FLUIDO A/IMPER SPF50,5,268,13.30,7,2,0.56,f,f,MAGAZZINO_netto
982999068,DEFENCE SUN FLUIDO 50+ 50ML,0,61,14.31,3,2,0.56,t,f,HELD_rete_pos
934869658,SELIMA 30CPR,0,308,13.62,3,2,0.56,t,f,HELD_rete_pos
981459439,NEURODINE ACT 12FL 10ML,0,344,21.88,8,2,0.56,t,f,HELD_rete_pos
987815065,DERMOVITAMINA CALM MOUSSE DET,3,50,10.69,4,2,0.56,f,f,MAGAZZINO_netto
903144766,SCHOLL GELACTIV CUSC CALLI 2PZ,0,191,8.99,11,2,0.56,f,f,HELD_basket
986878407,VALDISPERT NOTTE INTERA 30CPR,0,45,7.41,6,2,0.56,f,f,HELD_basket
970373015,NEUROVISION 30BUST,0,120,31.72,5,2,0.56,t,f,HELD_rete_pos
