tenant,minsan,prodotto,n_click,costo_click,erp_stock,supplier_stock,pos
Farmacia Mandanici,000367072,"TISANA KELEMATA*20BUST 1,3G",1,0.33,1,175,8
Farmacia Mandanici,004336107,SARIDON*20CPR,1,0.33,1,5000,6
Farmacia Mandanici,004558185,NEONISIDINA*12CPR,1,0.33,35,559,7
Farmacia Mandanici,005408024,"BRUNIZINA*GTT NAS 10ML 0,2%",1,0.33,0,214,1
Farmacia Mandanici,010386074,HIRUDOID 40000UI*GEL 50G,1,0.33,14,111,12
Farmacia Mandanici,013046077,ENTEROGERMINA*OS 10FL 4MLD 5ML,1,0.33,386,489,12
Farmacia Mandanici,013046089,ENTEROGERMINA*OS 20FL 4MLD 5ML,1,0.33,130,1133,11
Farmacia Mandanici,013046115,ENTEROGERMINA*OS 9BS 6MLD/2G,1,0.33,16,141,12
Farmacia Mandanici,020949020,"GUTTALAX*OS GTT 15ML 7,5MG/ML",1,0.33,0,229,2
Farmacia Mandanici,021115023,CTARD*60CPS 500MG RP FL,1,0.33,10,1622,5
Farmacia Mandanici,021528157,"TAMARINE*MARMEL260G 80+3,9MG/G",1,0.33,26,924,12
Farmacia Mandanici,023185059,LISOMUCIL TOSSE MUC*AD SCIR 5%,1,0.33,1,118,9
Farmacia Mandanici,023603018,PEVARYL*CREMA 30G 1%,1,0.33,1,1842,15
Farmacia Mandanici,024851026,VISUGLICAN*COLL 25D 40+2MG/ML,1,0.33,0,254,1
Farmacia Mandanici,025647037,TROSYD*POLV CUT 30G 1%,1,0.33,3,523,12
Farmacia Mandanici,025774011,"DERMOCORTAL*CREMA 20G 0,5%",1,0.33,5,100,6
Farmacia Mandanici,026725034,REGAINE*SOLUZ 60ML 5%,1,0.33,0,110,5
Farmacia Mandanici,026752079,LEVOTUSS*SCIR 10BUST 60MG/10ML,1,0.33,0,292,3
Farmacia Mandanici,026814158,"PORTOLAC*SCIR FL 200ML 66,67G",1,0.33,4,217,1
Farmacia Mandanici,027077027,NTR*SPRAY NASALE 15ML,1,0.33,0,120,2
Farmacia Mandanici,027456033,CLAREMA*CREMA 30G 1%,1,0.33,4,486,1
Farmacia Mandanici,028057014,"SOLUMAG*OS 20FL 1,5G 10ML",1,0.33,0,100,1
Farmacia Mandanici,028122063,"ONILAQARE*SMALTO UNGHIE 2,5ML",1,0.33,0,252,5
Farmacia Mandanici,029824291,ACQUA PI GS*5F 5ML,1,0.33,0,34,1
Farmacia Mandanici,029851173,MOVICOL*SENZA AROMA BB 20BUST,1,0.33,8,222,10
Farmacia Mandanici,030775023,"SODIO CLORURO FKI*0,9% 100ML",1,0.33,0,937,1
Farmacia Mandanici,031041015,ACIDO BORICO NEW F*3% FL 500ML,1,0.33,0,233,1
Farmacia Mandanici,031310016,ACIDO BORICO ALM*3% 500ML,1,0.33,0,51,1
Farmacia Mandanici,032154015,VECTAVIR LABIALE*CREMA 2G 1%,1,0.33,7,0,1
Farmacia Mandanici,032182077,"SODIO CLORURO EUROS*0,9%1000ML",1,0.33,0,36,1
Farmacia Mandanici,032773057,"AIRTAL*CREMA 50G 1,5G/100G",1,0.33,0,22,3
Farmacia Mandanici,033428020,LEVIOGEL*GEL 100G 1%,1,0.33,66,812,2
Farmacia Mandanici,034447045,"CELLUVISC*COLL 30F 0,4ML5MG/ML",1,0.33,0,155,1
Farmacia Mandanici,034842031,SIMECRIN*24CPR MAST 120MG,1,0.33,7,723,8
Farmacia Mandanici,034936157,FLUIMUCIL MUCOL*SCIR600MG/15ML,1,0.33,28,549,8
Farmacia Mandanici,035450016,DICLOREUM ACTIGEL*GEL 50G 1%,1,0.33,0,366,4
Farmacia Mandanici,035469028,"IMIDAZYL ANTIST*COLL 10FL0,5ML",1,0.33,31,593,5
Farmacia Mandanici,035760089,NEOBORO GOLADO*SPRAY LIM&MIELE,1,0.33,20,237,1
Farmacia Mandanici,035953025,"LAXIPEG*OS POLV 20BUST 9,7G",1,0.33,0,190,4
Farmacia Mandanici,036028013,"RELESTAT*COLL FL 5ML 0,5MG/ML",1,0.33,0,29,2
Farmacia Mandanici,037291097,CAREXIDIL*3FL SOLUZ CUT 60ML2%,1,0.33,0,52,1
Farmacia Mandanici,037291109,CAREXIDIL*4FL SOLUZ CUT 60ML2%,1,0.33,0,36,1
Farmacia Mandanici,037474032,CAREDIESSE*SHAMP2FL 60ML10MG/G,1,0.33,1,217,11
Farmacia Mandanici,038370019,BREXIDOL UNIDIE*4CER MED 14MG,1,0.33,12,192,6
Farmacia Mandanici,038629059,IRIREOS ANT*OS GTT 10FL10MG1ML,1,0.33,19,92,1
Farmacia Mandanici,041218025,ZERINOACTIV*20CPR 200MG+30MG,1,0.33,1,54,7
Farmacia Mandanici,042311023,MINOXIDIL BIORGA*SOL CUT 3FL5%,1,0.33,1,254,6
Farmacia Mandanici,042979029,SALONPAS FLESSIBILE*5CER7x10CM,1,0.33,0,813,6
Farmacia Mandanici,043109040,IBUPROFENE DOC*12CPR RIV 400MG,1,0.33,40,3717,1
Farmacia Mandanici,043510027,FLURBIPROFENE PE*OS SPRAY 15ML,1,0.33,0,1110,3
Farmacia Mandanici,043850015,GYNOCANESTEN MONO*1CPSVAG500MG,1,0.33,1,117,12
Farmacia Mandanici,044038053,MAALOX*40CPR MAST 400MG+400MG,1,0.33,0,1129,1
Farmacia Mandanici,045625011,VOLTAREN EMULGEL*GEL 100G 1%,1,0.33,0,355,1
Farmacia Mandanici,046318022,SALE DR SCHUSSLER N.7 MAPH*200,1,0.33,0,39,8
Farmacia Mandanici,047512013,"AMOROLFINA SAN*SMALTO 2,5ML",1,0.33,3,163,3
Farmacia Mandanici,047584913,STAPHYSAGRIA DYN*200K GL,1,0.33,0,10,1
Farmacia Mandanici,047736018,ONOPRIM*OS GTT 1FL 50ML,1,0.33,0,61,2
Farmacia Mandanici,048131027,"ONICOTER*SMALTO MED 1FL 6,6ML",1,0.33,0,340,2
Farmacia Mandanici,048922013,ZEFLAVON*30CPR RIV 500MG,1,0.33,0,100,8
Farmacia Mandanici,049232010,BENERVA*20CPR 300MG,1,0.33,0,274,3
Farmacia Mandanici,049714013,IBUPROFENE PENSA*12CPR 400MG,1,0.33,0,203,2
Farmacia Mandanici,049822012,OLONET*COLLIRIO 1FL 5ML 1MG/ML,1,0.33,0,63,1
Farmacia Mandanici,050039015,"KETAZED*COLL FL 10ML 0,25MG/ML",1,0.33,0,155,1
Farmacia Mandanici,050210018,DELTARINDEK DEC*SPRAY NAS 10ML,1,0.33,0,1395,5
Farmacia Mandanici,050655048,SCEVADIL*SOL CUT3FL60ML50MG/ML,1,0.33,0,0,
Farmacia Mandanici,051032011,REXORUBIA*OS GRAT 350G,1,0.33,0,36,4
Farmacia Mandanici,051342020,DICLOREUMACT*GEL 100G 20MG/G,1,0.33,24,42,1
Farmacia Mandanici,101750014,METABOLASE Iniett.500ml,1,0.33,0,15,1
Farmacia Mandanici,101759013,OTOPET Flac.130g Gtt.,1,0.33,0,52,1
Farmacia Mandanici,102330014,PRALEN*12CPR MAST FL,1,0.33,0,10,1
Farmacia Mandanici,102796012,PANACUR*10CPR 250MG,1,0.33,0,68,2
Farmacia Mandanici,104373030,"ADVANTAGE*4PIP 0,8ML SPOTON",1,0.33,0,137,8
Farmacia Mandanici,104687025,"VECTRA 3D*3PIP 1,5-4KG GIALLO",1,0.33,0,196,4
Farmacia Mandanici,104918026,AMFLEE COMBO*3PIP GATTI/FURETT,1,0.33,0,140,3
Farmacia Mandanici,105392068,DELTATIC*2COLLARI CANI 5-25KG,1,0.33,0,4,1
Farmacia Mandanici,105682052,"FRONTPRO*3CPR 4-10KG 28,3MG",1,0.33,3,80,11
Farmacia Mandanici,800106205,MUCOKEHL D5 20CPR SANUM,1,0.33,0,30,2
Farmacia Mandanici,800106597,SANKOMBI D5 10ML GTT SANUM,1,0.33,0,149,1
Farmacia Mandanici,800130116,WELEDA Agaricus Phosph.Comp.8F,1,0.33,0,6,3
Farmacia Mandanici,800146235,"UBICHINON COMP.10F. 2,2ml",1,0.33,0,42,2
Farmacia Mandanici,800170514,"ZEEL T 10 F.2,2ml",1,0.33,0,44,1
Farmacia Mandanici,800239485,SILICEA 5CH GR,1,0.33,0,3,1
Farmacia Mandanici,800243560,ALUMINA 30CH GR,1,0.33,0,5,5
Farmacia Mandanici,800342077,MATENVIS 12F 2ML VIS,1,0.33,0,8,1
Farmacia Mandanici,800589956,MOMORDICA OTI COMPOSTO GOCCE,1,0.33,0,3,9
Farmacia Mandanici,800594184,GAMMA BIO H COMPLEX 20F FIS,1,0.33,0,3,1
Farmacia Mandanici,800601229,2LXFS 30CPS,1,0.33,0,11,5
Farmacia Mandanici,800891499,ARNICA 200CH 10ML GTT,1,0.33,0,11,2
Farmacia Mandanici,800928463,RENINUM 5CH GR,1,0.33,0,4,2
Farmacia Mandanici,801210853,SIN 56 50ML GTT,1,0.33,0,25,2
Farmacia Mandanici,801210954,DRE 5 50ML GTT,1,0.33,0,29,2
Farmacia Mandanici,881073961,FEE TONIC 15ML,1,0.33,0,9,8
Farmacia Mandanici,881111064,OVARINUM SP 20F FISX2ML,1,0.33,0,1,4
Farmacia Mandanici,900051638,CLINNER INTIMO DETERGENTE500ML,1,0.33,0,34,5
Farmacia Mandanici,900095769,MELIVEN PLUS 20SOFTGEL,1,0.33,0,353,6
Farmacia Mandanici,900176227,LONGLIFE AMINO COMPLEX 60TAV,1,0.33,0,66,3
Farmacia Mandanici,900190758,DEPURATIVO Antartico 500ml,1,0.33,0,150,5
Farmacia Mandanici,900199934,FIDREN OLIO 100ML,1,0.33,0,71,3
Farmacia Mandanici,900215423,SCUDOTEX GAMB VIAGGIO PC NE 4,1,0.33,0,3,2
Farmacia Mandanici,900278882,PREREID BUSTINE HUMANA 20PZ,1,0.33,1,59,13
Farmacia Mandanici,900294152,VISUTON OPC 30CPR,1,0.33,0,126,2
Farmacia Mandanici,900394432,"CER LEUKOPLAST MUTUA 5X1,25CM",1,0.33,0,100,5
Farmacia Mandanici,900411188,MOST CREMA LENITIVA 50ML,1,0.33,0,18,9
Farmacia Mandanici,900427636,KIRON ARGEA ARGILLA 250ML,1,0.33,0,46,5
Farmacia Mandanici,900533757,CLOREXYDERM SHAMPOO 250ML,1,0.33,1,637,15
Farmacia Mandanici,900583485,GINEXID SCHIUMA DET 150ML,1,0.33,4,5100,15
Farmacia Mandanici,900586165,SAUGELLA POLIGYN 50+ 250ML,1,0.33,1,321,7
Farmacia Mandanici,900651807,STETOFONENDOSCOPIO PROFESSIONA,1,0.33,0,1,1
Farmacia Mandanici,900676988,GLORIAM GAMB 242AD MX BE LL 1P,1,0.33,0,2,2
Farmacia Mandanici,900697970,GARZA 12/8 IDROF 10X10CM 1KG,1,0.33,0,111,2
Farmacia Mandanici,900750136,P6 NAUSEA CONTROL BRACCIALE BB,1,0.33,4,654,1
Farmacia Mandanici,900762079,REV DERMOSCHIUMA 125ML,1,0.33,2,115,8
Farmacia Mandanici,900780471,VEA OLIO IDRAT PROT P SEC 20ML,1,0.33,2,1389,14
Farmacia Mandanici,900851294,DITRAPSOR SHAMPOO 100ML,1,0.33,0,77,3
Farmacia Mandanici,900866551,EUPH SKIN CR ANTIR 40ML,1,0.33,7,47,1
Farmacia Mandanici,900925595,BRAVA CINTURA PLACCA CONV 1PZ,1,0.33,0,7,3
Farmacia Mandanici,900958695,BENUSCLER CR 100ML,1,0.33,0,403,1
Farmacia Mandanici,900961210,OLIO 31 FORMULA ORIG USO ESTER,1,0.33,0,62,7
Farmacia Mandanici,901068724,BAVAGLIA AD MONOUSO 100PZ,1,0.33,0,31,2
Farmacia Mandanici,901071391,ACQUASTOP SACCH AVANBRACC,1,0.33,0,27,4
Farmacia Mandanici,901074385,BD MICROFINE AGO G31 8MM 100PZ,1,0.33,0,30,10
Farmacia Mandanici,901133607,REDODERM SHAMPOO CANE/GAT250ML,1,0.33,1,93,10
Farmacia Mandanici,901178968,PARAC CICCARELLI CALLI DURI 9P,1,0.33,0,332,3
Farmacia Mandanici,901289367,LONGLIFE MAGNESIUM 188 100CPR,1,0.33,0,61,3
Farmacia Mandanici,901292223,PSYLLIO 60CPS,1,0.33,0,96,5
Farmacia Mandanici,901298341,KERAMINE H A/CAD 12F 6ML,1,0.33,0,86,6
Farmacia Mandanici,901306441,GENITAL CREMA 30ML,1,0.33,0,55,2
Farmacia Mandanici,901366409,ANTIAGE C CREMA ANTIRUGHE 30ML,1,0.33,0,1,10
Farmacia Mandanici,901424200,SALUFRANGOL 250ML,1,0.33,0,359,10
Farmacia Mandanici,901430672,MAN SUPPORT 15COT GAMB 15 NE 5,1,0.33,0,17,1
Farmacia Mandanici,901466262,TURNOVER CREMA DERMATOLOGICA,1,0.33,0,100,3
Farmacia Mandanici,901482366,PERILUX CREMA PERIOCULARE 15ML,1,0.33,0,317,4
Farmacia Mandanici,901538393,GEL FISSANTE MIGLIO/SOJA 150ML,1,0.33,0,56,5
Farmacia Mandanici,901539294,DEODORANTE AQUASALVIA 100ML,1,0.33,0,3,4
Farmacia Mandanici,901542249,VEA SHAMPOO ANTIFORFORA 125ML,1,0.33,1,176,7
Farmacia Mandanici,901558876,ARGILTUBO 250ML,1,0.33,0,106,7
Farmacia Mandanici,901772739,VITREOSAN ARA VIT C 40CPR EFF,1,0.33,0,533,5
Farmacia Mandanici,901853123,SIG 702 AT + MS PC CRIS,1,0.33,0,1,1
Farmacia Mandanici,901878948,ZANNI GEL ANEL DITA M,1,0.33,0,1,2
Farmacia Mandanici,901944443,ELASTIC CREMA BARBA 150ML,1,0.33,0,100,2
Farmacia Mandanici,902041096,"BD-SIR INS 1M 29G 12,7MM 30P<",1,0.33,0,120,1
Farmacia Mandanici,902092156,SECURDRAIN VIA SACCA UR750 T35,1,0.33,0,1,1
Farmacia Mandanici,902170149,SCHAR MIX B PREP PANE 1KG+20G,1,0.33,0,170,2
Farmacia Mandanici,902170164,SCHAR MIX C FARINA TORTE/BISC,1,0.33,0,100,3
Farmacia Mandanici,902183072,VEA MARSIGLIA SAP NAT 100G,1,0.33,1,190,1
Farmacia Mandanici,902202148,XEROTIN 100ML,1,0.33,0,111,4
Farmacia Mandanici,902209535,EPTIL SPRAY 50ML,1,0.33,0,16,1
Farmacia Mandanici,902229576,MERISTEMO 20 100ML,1,0.33,0,2,5
Farmacia Mandanici,902235353,STERIMAR NASO SENSIBILE SPRAY,1,0.33,0,361,3
Farmacia Mandanici,902305438,PIC SPORT TAPPO AURIC SIL 6PZ,1,0.33,0,342,6
Farmacia Mandanici,902305440,TRANQUIL TAPPI AURICOLARI 4PZ,1,0.33,0,142,6
Farmacia Mandanici,902339480,BIOGEL INFRADITO PIC 2PZ,1,0.33,0,1,2
Farmacia Mandanici,902340177,DICODRAL 60 12BUST,1,0.33,0,125,4
Farmacia Mandanici,902351372,VEGAL GAMB BEI M 1PZ,1,0.33,0,0,
Farmacia Mandanici,902407461,"RUSCH 121415 KIT TRACHEOFIX8,5",1,0.33,0,7,2
Farmacia Mandanici,902408588,BIODERM DERMOLIQUIDO 1000ML,1,0.33,0,124,1
Farmacia Mandanici,902490440,GUAM FANGHI D'ALGA CR GEL FRED,1,0.33,0,37,
Farmacia Mandanici,902505027,SANOTINT TINTURA CAPELLI 28,1,0.33,0,0,
Farmacia Mandanici,902506551,PECTIFLOR 20CPR EFFERVESCENTI,1,0.33,0,18,4
Farmacia Mandanici,902553635,DELIFAB ANGIOCREAM 50ML,1,0.33,0,16,3
Farmacia Mandanici,902574197,IRIS CREMA CORPO 300ML,1,0.33,0,53,6
Farmacia Mandanici,902632417,CERUMINA SILICON 6PZ,1,0.33,4,203,3
Farmacia Mandanici,902632443,M-AID OPTOMED GARZA 5PZ,1,0.33,22,100,1
Farmacia Mandanici,902659933,VEA LIPSTICK LIPOGEL LABB 10ML,1,0.33,1,125,10
Farmacia Mandanici,902684315,PERSPIREX FOOT LOT ANTITR PIED,1,0.33,3,433,9
Farmacia Mandanici,902697679,EMOFIX UNGUENTO BARRI EMOST30G,1,0.33,1,102,5
Farmacia Mandanici,902711581,DINABASE 7 ADESIVO DENTIERE,1,0.33,1,347,2
Farmacia Mandanici,902732054,BENPED ALLUCE VALGO 1PZ,1,0.33,0,4,6
Farmacia Mandanici,902777818,SOWASH IDROPULSORE RIC 2PZ,1,0.33,0,1,4
Farmacia Mandanici,902813031,CLINNER DELICATO SH LAV FREQ,1,0.33,0,0,
Farmacia Mandanici,902813070,SANODET DEL SH LAV FREQ 500ML,1,0.33,0,2,3
Farmacia Mandanici,902975477,VASODREN CREMA GAMBE 75ML,1,0.33,1,149,1
Farmacia Mandanici,902988928,SARODERM PLUS 30CPS,1,0.33,0,113,2
Farmacia Mandanici,903009621,BENDA COMPRILAN 6X500CM,1,0.33,0,7,4
Farmacia Mandanici,903069514,LONGLIFE KELP ALGA BRUNA180CPR,1,0.33,0,46,2
Farmacia Mandanici,903144766,SCHOLL GELACTIV CUSC CALLI 2PZ,1,0.33,1,182,6
Farmacia Mandanici,903339897,M-AID GHIACCIO SPRAY 200ML,1,0.33,1,0,1
Farmacia Mandanici,903457137,GLORIAMED BRACC 101C/PALM CO M,1,0.33,0,2,1
Farmacia Mandanici,903528735,VARISAN LUILEI COT1015 ADGR4,1,0.33,0,0,
Farmacia Mandanici,903528774,VARISAN LUILEI COT1015 ADNE3,1,0.33,0,2,2
Farmacia Mandanici,903528887,VARISAN LUILEI COT1520 ADBL4,1,0.33,0,2,1
Farmacia Mandanici,903541237,PROTHER 30BUST 10G,1,0.33,0,109,8
Farmacia Mandanici,903585370,CICLOSOHN 30CPR,1,0.33,0,11,3
Farmacia Mandanici,903594620,BIOSKIN INFRADITO S 1PZ,1,0.33,0,2,3
Farmacia Mandanici,903596765,RIBES PET RECOVERY 60PRL,1,0.33,0,589,6
Farmacia Mandanici,903608166,TOXIRID SG GRAN 150G,1,0.33,0,22,4
Farmacia Mandanici,903628257,GIBAUD ORTHO CAVIGL STABIGIB,1,0.33,0,69,3
Farmacia Mandanici,903701720,DERMABLEND FLUIDO 15 30ML,1,0.33,0,88,11
Farmacia Mandanici,903701769,DERMABLEND FLUIDO 45 30ML,1,0.33,0,124,9
Farmacia Mandanici,903716443,EPACLIN 24CPS,1,0.33,1,148,1
Farmacia Mandanici,903761296,AFLOXIDERM LOZIONE 100ML,1,0.33,0,110,1
Farmacia Mandanici,903769127,TRICORES F SHAMPOO 200ML,1,0.33,0,7,3
Farmacia Mandanici,903786061,BRUNEX URTO CREMA 30ML,1,0.33,0,254,7
Farmacia Mandanici,903921258,RUSCOVEN PLUS 50CPS,1,0.33,1,223,7
Farmacia Mandanici,903936969,SILVERCEL MEDIC STER 5X5CM 10P,1,0.33,0,4,1
Farmacia Mandanici,904001144,"TUBO AEROSOL 1,5M F/F+2ADAT",1,0.33,11,176,1
Farmacia Mandanici,904072093,COLLARE GOMMAPIUMA 8CM M,1,0.33,0,2,1
Farmacia Mandanici,904077385,RINOREX SPRAY NASALE 50ML,1,0.33,4,645,6
Farmacia Mandanici,904094315,SAT LOMBOS U BUST ORTO SEM XL,1,0.33,0,1,1
Farmacia Mandanici,904266210,PROFLUSS 15CPS,1,0.33,2,2376,5
Farmacia Mandanici,904336548,DUALSAN MONOCOL KKL2 TERAP DX3,1,0.33,0,5,1
Farmacia Mandanici,904378597,SAPIGEN K SAPONE LIQ INT 250ML,1,0.33,0,284,4
Farmacia Mandanici,904436146,CONFORM2 PLACCA 70MM R13-57 5P,1,0.33,0,28,1
Farmacia Mandanici,904556976,PROKTIS-M PLUS UNG RETT 30G+CA,1,0.33,1,883,9
Farmacia Mandanici,904577487,BRIO BAST PIEG AL ANOD NE77/87,1,0.33,0,5,1
Farmacia Mandanici,904592173,CICAGEL 15ML,1,0.33,1,472,5
Farmacia Mandanici,904733413,AFTAMED SPRAY 20ML,1,0.33,5,1563,9
Farmacia Mandanici,904976141,BIODERM PASTA BARRIERA ZN500ML,1,0.33,0,118,5
Farmacia Mandanici,905066825,MYDET DOCCIASCHIUMA 200ML,1,0.33,0,51,4
Farmacia Mandanici,905134969,CLARASTILL GOCCE OCULARI 5ML,1,0.33,2,1526,1
Farmacia Mandanici,905596185,GASDEP 45CPS,1,0.33,0,1742,3
Farmacia Mandanici,905603066,AMINOTROFIC 30BUSTE,1,0.33,0,2098,12
Farmacia Mandanici,905682961,MUCOSYTE FLUID SOL CONC 180ML,1,0.33,0,132,5
Farmacia Mandanici,905897652,MEDILEN IPER CREMA 50ML,1,0.33,0,79,3
Farmacia Mandanici,905914634,RICOLA TISANA DISTENSIVE RELAX,1,0.33,0,100,1
Farmacia Mandanici,905954362,GIBAUD ORTHO BRACC ELBOWGIB 3,1,0.33,0,6,3
Farmacia Mandanici,905954982,RESTIVOIL SEBO NORM 250ML,1,0.33,7,418,2
Farmacia Mandanici,905972081,MAGNESIO SUPREMO 300G,1,0.33,2,4850,
Farmacia Mandanici,906016050,LADYGLORIA 24 AREG 240 NE 3,1,0.33,0,3,1
Farmacia Mandanici,906038930,SANOTINT LIGHT BIONDISS DOR 87,1,0.33,0,3,3
Farmacia Mandanici,906048576,TAMPAX COMPAK SUPER 16PZ,1,0.33,0,354,2
Farmacia Mandanici,906154810,EUPHIDRA AMIDO HOFMANN 300G,1,0.33,13,412,5
Farmacia Mandanici,906272885,STRUVA 35 AG BIANCO3 1PZ H932,1,0.33,0,1,1
Farmacia Mandanici,906281086,SIG 702 AD + SL PA CRIS,1,0.33,0,1,1
Farmacia Mandanici,906555204,AMRITA 5 60CPR,1,0.33,0,49,1
Farmacia Mandanici,906555507,VATAMAP 60CPR,1,0.33,0,52,3
Farmacia Mandanici,906561636,OLIO MANDORLE DOLCI 100ML,1,0.33,0,78,6
Farmacia Mandanici,906565181,STENOMAP PASTA 600G,1,0.33,0,105,3
Farmacia Mandanici,906583861,PANTATOX 30CPR,1,0.33,0,1,2
Farmacia Mandanici,906595400,COCCO GRATTUGG BIO SEMPL&BIO,1,0.33,0,1,1
Farmacia Mandanici,906700923,FLORAGYN OVULI VAG 2G 6PZ,1,0.33,0,156,5
Farmacia Mandanici,906757240,PROCTOPURE DETERGENTE LIQUIDO,1,0.33,0,6,1
Farmacia Mandanici,906808732,DERMOFEED SHAMPOO 200ML,1,0.33,0,6,1
Farmacia Mandanici,906833862,RIDUCAL AMIDI & ZUCCHERI 30CPR,1,0.33,24,0,1
Farmacia Mandanici,906989874,GLORIAM GAMB 191 CO NE M 1PA,1,0.33,0,1,1
Farmacia Mandanici,906990039,GLORIAM GAMB 191 LU NE S 1PA,1,0.33,0,1,1
Farmacia Mandanici,907017471,SAUBER COL PREM 140 MICR NE 5,1,0.33,0,7,9
Farmacia Mandanici,907106342,GLORIAM GAMB 142AD COT BE LL,1,0.33,0,3,1
Farmacia Mandanici,907106379,GLORIAM GAMB 142AD MX COT MLU,1,0.33,0,4,1
Farmacia Mandanici,907123537,CLINNIX DETERGENTE DERMAT,1,0.33,1,0,3
Farmacia Mandanici,907144467,SIRINGA STERILE 50ML CONO CATE,1,0.33,0,198,5
Farmacia Mandanici,907152882,VASODREN 30CPR FILMATE,1,0.33,0,804,3
Farmacia Mandanici,907280352,ALLEVYN NON ADHESIVE 10X10CM 3,1,0.33,0,41,4
Farmacia Mandanici,907286936,MERIDOL SPAZZOLINO SET MORB,1,0.33,30,565,1
Farmacia Mandanici,907296848,LADYGLORIA 18 GAMB 140 DAI 2,1,0.33,0,8,5
Farmacia Mandanici,908188966,GIBAUD CAVIGL CALZINO CAMEL 2,1,0.33,0,131,7
Farmacia Mandanici,908215864,CONVEEN LACCI VELCRO 2PZ 5050,1,0.33,0,32,3
Farmacia Mandanici,908220585,GIBAUD CINT ULTRACONTENIT A/5,1,0.33,0,2,3
Farmacia Mandanici,908353459,LONGLIFE POTASSIUM 99 100TAV,1,0.33,0,170,5
Farmacia Mandanici,908460900,FRILIVER 20BUST,1,0.33,1,69,1
Farmacia Mandanici,908485701,GL1 M&D SALBE CREMA 50ML,1,0.33,1,383,4
Farmacia Mandanici,908556564,MEDINORM TAPPO CATET STER,1,0.33,0,100,6
Farmacia Mandanici,908579004,KLOMA STIM LOZIONE 100ML,1,0.33,1,100,1
Farmacia Mandanici,908621194,GEHWOL BALS RINFRESCANTE 75ML,1,0.33,0,91,5
Farmacia Mandanici,908698715,"M-AID ROLLPORE CER 5X2,50CM",1,0.33,2,92,
Farmacia Mandanici,908758030,MAVALA INDURENTE UNGHIE 5ML,1,0.33,0,0,
Farmacia Mandanici,908787880,DIERRE OLIO IDRATANTE VERDE,1,0.33,0,47,1
Farmacia Mandanici,908868641,PRONTEX OCULAR CPR OCULARI10PZ,1,0.33,26,100,1
Farmacia Mandanici,908869694,BENDA PIC AURIC DRESSF CM2X5M,1,0.33,0,265,9
Farmacia Mandanici,908869769,GARZA PIC 10X10CM 25PZ FUSTELL,1,0.33,1,0,1
Farmacia Mandanici,908873882,EAR PLUGS TAPPI AURIC SIL 2PZ,1,0.33,0,145,3
Farmacia Mandanici,908919222,LONGLIFE INOSITOL 100CPR,1,0.33,0,158,10
Farmacia Mandanici,908924626,KLISTER ENTEROCLISMA VIAGGIO,1,0.33,1,132,8
Farmacia Mandanici,909036699,NOCAVITY KIT OTTURAZIONI,1,0.33,9,280,4
Farmacia Mandanici,909068405,GOMITIERA TALLONIERA 2PZ,1,0.33,0,16,3
Farmacia Mandanici,909390104,SEBAMED DET LIQ 1000ML,1,0.33,0,334,5
Farmacia Mandanici,909470078,CARTILAGO SUIS INJ 10F HEEL,1,0.33,0,0,
Farmacia Mandanici,909470837,"Histamin Inj 10f 1,1ml Heel",1,0.33,0,6,3
Farmacia Mandanici,909475358,HOMEOPLASMINE POM 40G,1,0.33,0,130,5
Farmacia Mandanici,909478808,RECKEWEG VC15 SCIR 250ML,1,0.33,0,69,7
Farmacia Mandanici,909723862,GLORIAM GAMB SOFT241 K2 LL,1,0.33,0,2,1
Farmacia Mandanici,909769895,LONGLIFE C 2000 TR 30TAV,1,0.33,0,41,3
Farmacia Mandanici,909890713,OLIO VASELINA 1000ML VEBI,1,0.33,0,468,1
Farmacia Mandanici,909902049,E13 LAVANDA 10ML,1,0.33,0,0,
Farmacia Mandanici,909938122,ESI MULTICOMPLEX POT MG 90OVAL,1,0.33,0,58,10
Farmacia Mandanici,909963682,SANOTINT TINTURA CAPELLI 22,1,0.33,0,17,5
Farmacia Mandanici,910071479,TOP PROSTATA 40CPS,1,0.33,0,93,10
Farmacia Mandanici,910555592,APAXIL CREMA OPACIZZANTE VISO,1,0.33,0,373,3
Farmacia Mandanici,910630476,SECURIL BIO 30CPS,1,0.33,0,12,6
Farmacia Mandanici,910773821,DUOMED GAMB 533 K1 PA S,1,0.33,0,1,1
Farmacia Mandanici,910838251,NUTRIFREE FARINA GRANO SAR500G,1,0.33,0,60,1
Farmacia Mandanici,911023190,SIG 701 AG-BAP LS PA CRIS,1,0.33,0,1,1
Farmacia Mandanici,911147561,PIC GARZA STERICOMPR 36X40 12P,1,0.33,58,427,6
Farmacia Mandanici,911463723,PESSARIO SILICONE 85MM,1,0.33,0,0,
Farmacia Mandanici,911988549,AVEENO TERAP CREAM 100ML,1,0.33,0,67,9
Farmacia Mandanici,912101969,ISOLA BIO DRINK SOIA NATURAL1L,1,0.33,0,7,2
Farmacia Mandanici,912140670,SIG 701 AG-BAP SS PC CRIS,1,0.33,0,1,1
Farmacia Mandanici,912280447,GREEN MAGMA POLVERE 150G,1,0.33,0,3,8
Farmacia Mandanici,912294422,EPITACT PROT ALLUCE VAL GEL S,1,0.33,1,254,4
Farmacia Mandanici,912323627,REVAMIL GEL 18G,1,0.33,0,42,2
Farmacia Mandanici,912463837,CH VASINO PAPEROT CON CONT,1,0.33,0,2,1
