minsan,prodotto,n_tenant,n_click,costo_click,vendite_rete_90gg
923438485,BIOGENA DERMOLIQUIDO PH5 500ML,3,3,0.99,7
923500312,OSTEOKLIP 30CPR,3,3,0.99,1
924274083,REDERMIC RETINOL OCCHI 15ML,3,3,0.99,2
924824244,DUOMEGA CANI GRANDI 30CPS,3,3,0.99,4
924960887,HERICIUM MICOTHERAPY 30CPS,3,3,0.99,1
924961360,FREESTYLE OPTIUM TEST STR 25PZ,3,3,0.99,5
925369100,THROMBOSIS 18 ISP GAMB M CORTO,3,3,0.99,2
925391308,FLEBOMIX 1000MG 30CPR,3,3,0.99,8
925700890,HYPERMIX CREMA/GEL 30ML,3,3,0.99,6
925931002,MEDI KL1 PLUS/GAMBAL CO 2 102,3,3,0.99,1
926461839,MTS10 GANODERMA GTT 20ML,3,3,0.99,3
927592764,"OPTIVE FUSION UD 30FLAC 0,4ML",3,3,0.99,3
930547359,LACTIBIANE TOLERANCE 30CPS,3,3,0.99,2
930861087,ARTAVIS 30CPR,3,3,0.99,1
930862317,INOFOLIC NRT 30BUST,3,3,0.99,1
931095309,EPAEPA 42CPR,3,3,0.99,2
931127993,VALDISPERT GOCCE SONNO RAP30ML,3,3,0.99,2
931524615,PIROFER FORTE 30CPR,3,3,0.99,1
931645636,HELIOCARE ULTRA-D 30CPS,3,3,0.99,13
931666756,CB12 TRATTAMENTO ALITOSI 250ML,3,3,0.99,2
932212095,OMK2 SOLUZIONE OFT STER 10ML,3,3,0.99,5
932711740,GUNAMINOFORMULA 50CPR,3,3,0.99,1
934408687,BIOTHYMUS AC ACT U SH ENERG,3,3,0.99,3
934625056,MELAXINA T GOCCE 30ML,3,3,0.99,1
934862525,ACCU-CHEK MOBILE 50TEST MIC2,3,3,0.99,1
934981426,IKLEN 50+ CREMA FOTOPROTETTRIC,3,3,0.99,3
935008932,UNIFERRO FORTE 30CPS,3,3,0.99,6
935272791,LIBERVIS ENERGY ARANCIA 20BUST,3,3,0.99,1
935329223,ESPERSOL SPRAY NASALE 100ML,3,3,0.99,4
935520039,LIGADOL EVO 20BUST,3,3,0.99,3
935594616,ARTELAC REACTIVE MONODOSE 20PZ,3,3,0.99,1
935701375,KOLINAT LNP 30CPS,3,3,0.99,1
935749034,VEGETALLUMINA EMATOGEL 100ML,3,3,0.99,1
935789735,XNERV 24CPR,3,3,0.99,13
935790701,M-AID ROLLFLEX A-STOP M10X10CM,3,3,0.99,1
935810960,VAGISIL INTIMA GEL IDRAT MONOD,3,3,0.99,4
937030892,NOVA PROST 30CPS SOFTGEL,3,3,0.99,1
938224654,GEHWOL ANELLO CORRETTORE 3PZ,3,3,0.99,1
940037548,FUSION WATER MAGIC SPF50 50ML,3,3,0.99,37
940086337,TANTUM VERDE SOS AFTE SPR 20ML,3,3,0.99,3
940089802,PRODIV 20BUST,3,3,0.99,2
940562907,DERMAFRESH 24H P/NORM ROLL50ML,3,3,0.99,1
940989433,LONGLIFE GLUCOSAMINE S 100CPS,3,3,0.99,1
941166365,NOVA MGKB 30BUST,3,3,0.99,1
941516647,AMBLICOL 15FL 10ML,3,3,0.99,2
941693691,VITACALM TUTTA NOTTE F/R 30CPR,3,3,0.99,3
942138886,DICODRAL LIQUIDO 4X200ML,3,3,0.99,1
942732583,VITIALGIN 1030MG 60PRL,3,3,0.99,1
942826583,RETIZIN 28CPR DEGLUT GASTRORES,3,3,0.99,3
943083218,YPSODOL 30CPR RIVESTITE,3,3,0.99,8
943370864,FLORAMADRE 14BUST,3,3,0.99,2
943372843,PRINCIPIUM B12 1000 60CPR SUBL,3,3,0.99,18
943954723,CONTOUR NEXT GLUCOMETRO,3,3,0.99,56
944137518,GERMISDIN IGIENE CORPO ORIG 1L,3,3,0.99,1
944596598,SAVEL LATTE BIOS 200ML,3,3,0.99,3
944889068,PROGENY PET 60BUST,3,3,0.99,2
945104255,PROLIFE LATTASI 30CPR MASTIC,3,3,0.99,14
947070975,LONGLIFE COLLAGEN 5000 POWDER,3,3,0.99,5
947073704,RILASTIL ACNESTIL MICROPEELING,3,3,0.99,2
947123600,LITOBLOCK 30BUST,3,3,0.99,3
947127662,NEFROKRILL CANE 60PRL,3,3,0.99,14
947217473,VITACALM ANSISTOP SPR ACT 20ML,3,3,0.99,1
947395620,LICHTENA CREMA 200ML NF,3,3,0.99,2
947455958,BIOVIT 3 MULTI GOCCE 30ML,3,3,0.99,1
948162882,NEFROKRILL GATTO 60PRL,3,3,0.99,1
949477451,ARMOLIPID DONNA 50+ 30CPS,3,3,0.99,2
949500692,TOTAL DEP 500ML,3,3,0.99,2
949500882,LONGLIFE MIRTILLO RO COMP60CPS,3,3,0.99,2
949869349,MACULVIST 20CPR RIVESTITE,3,3,0.99,7
949993455,HDLGELAR FREE 45CPS,3,3,0.99,2
950069955,RILASTIL XEROLACT OLIO DET,3,3,0.99,4
950912865,EPICUROS 20CPR,3,3,0.99,5
951059789,GOODERE LIBEEDO4HIM 60CPR,3,3,0.99,2
951135627,COLINOX 40CPR MASTICABILI,3,3,0.99,9
951273806,COLECRIL CALANUS ARTICO 60SOFT,3,3,0.99,3
951273907,CONDROMAX FORTE 10BUST,3,3,0.99,8
951306240,PSIPROTO FERT 30BUST,3,3,0.99,5
951358290,SALIPIL BIOME 50ML,3,3,0.99,1
952004099,TELEANGYL PROTECT SPF50+ PHARC,3,3,0.99,4
970375945,EPATOSTAR FORTE 20CPR RIVEST,3,3,0.99,2
970701381,BRAVA SALVIETTE DET 15PZ,3,3,0.99,8
970929648,ISCHIA E T CORAL VITALITY 1L,3,3,0.99,2
971192859,TIGLIO ESTRATTO INTEGRALE200ML,3,3,0.99,1
971242298,IRON FOLIC 30CPS,3,3,0.99,5
971299944,PERIO AID INTENSIVE CARE GEL,3,3,0.99,1
971484593,DILATATORE NASALE,3,3,0.99,1
971620796,BLEFACTIVE LIPOGEL OFTALMICO,3,3,0.99,1
971621937,ACQUA ALLE ROSE TONICO CL300ML,3,3,0.99,2
971752112,VITA ACT CALCIO+VIT D 60CPR,3,3,0.99,2
972036750,EUCERIN PH5 SOFT CREAM 450ML,3,3,0.99,2
972260590,EMORSAN RAG 2 TUBI 30+30ML,3,3,0.99,1
972264636,BLEFASTOP GARZA COT PIE RX 28P,3,3,0.99,2
972468197,TOTAL NEEM PROTECTION SPRAY MU,3,3,0.99,2
972539872,FLOGOX 30CPS,3,3,0.99,2
972730600,THYRSEL OX 30CPS,3,3,0.99,1
972790416,NEO MOM SHAMPOO ANTIPARAS150ML,3,3,0.99,1
973500301,PURES SPRAY TONICO CIRC 100ML,3,3,0.99,1
973500729,SOMAT SKIN EX SNEL 7NTT G400ML,3,3,0.99,6
974381257,REV IDRAX CONTOUR 15ML,3,3,0.99,3
974388516,BRAVA CEROTTO IDROCOL XL 20PZ,3,3,0.99,1
974656480,PARODONTAX CP COOL MINT 75ML,3,3,0.99,6
975063443,IMMUNOSICK 30ML,3,3,0.99,2
975508666,EUCERIN UREAREP EMULS10% 400ML,3,3,0.99,4
975701956,CONTROL GEL LUBRIF NATURE 75ML,3,3,0.99,2
975761521,BORO OLIMENTOVIS 200ML,3,3,0.99,1
975906684,HERBATINT 3DOSI 4N 300ML,3,3,0.99,3
975995743,AUDISPRAY ULTRA SPRAY 20ML,3,3,0.99,4
976329387,EMOFORM DENT FORTE CREMA ADES,3,3,0.99,2
976731152,PELVILEN DUAL ACT 20CPR,3,3,0.99,6
977254200,COENZIMA Q10 FORTE 60CPS,3,3,0.99,2
978474183,CISTITASK 14BUST,3,3,0.99,1
978476099,KIJIMEA COLON IRRITAB PRO14CPS,3,3,0.99,4
978507224,ECOTONIC 1000 14STICK PACK,3,3,0.99,1
978862326,ANTHELIOS SHAKA SPRAY 30 200ML,3,3,0.99,2
978868038,CONNETTIVINASOLE SPRAY 50ML,3,3,0.99,1
978869865,CONNETTIVINA CER HITECH 10X10,3,3,0.99,1
978919619,CHROMITRON 40CPS,3,3,0.99,4
978939938,LAVONASE SIR 20ML IRRIG NASALE,3,3,0.99,1
979095484,NUXE HP FLORALE 50ML OLIO SECC,3,3,0.99,3
979204144,PROXALIPID 30CPS,3,3,0.99,1
979657374,YAMAMOTO N CREATINE PRO 150TAV,3,3,0.99,1
980248987,COLASIL 30CPS,3,3,0.99,3
980445858,SENSIBIO GEL MOUSSANT 100ML,3,3,0.99,1
980485662,KURAFER PLUS 30CPS,3,3,0.99,4
980494280,REMESCAR EFF LIFT INST V SHAPE,3,3,0.99,1
981113309,ZYMECOL 30CPR,3,3,0.99,2
981459439,NEURODINE ACT 12FL 10ML,3,3,0.99,5
981974367,BIOKILL PIRETRO NATURALE 375ML,3,3,0.99,3
982475333,SERENITY PANTS SD SENS EX L 12,3,3,0.99,4
982945521,ARTELAC NIGHTTIME GEL 10G,3,3,0.99,6
982945622,OPTIVE SOLUZIONE OFTALMICA10ML,3,3,0.99,3
983173345,SERENITY PANN MUT SD EX S 30PZ,3,3,0.99,1
983361763,GIBAUD ORTHO RHIZACTIVE ORTES1,3,3,0.99,2
983381474,RIVESCAL DELICATO XL SH 500ML,3,3,0.99,1
983520887,DEPROX HP 15CPS,3,3,0.99,6
983746025,FORMULA COLLAGENE 10FL 12ML,3,3,0.99,2
983789696,KRIN UP LEI 30CPR,3,3,0.99,7
983831494,MEDICIST 20BUST,3,3,0.99,1
984327864,V EPIGEL TUBO GEL 10G,3,3,0.99,1
984805770,BUTIRRISAN 90CPR,3,3,0.99,16
985005368,ARKOCPS ASHWAGANDHA BIO 60CPS,3,3,0.99,2
985713787,PURONERV DOL 60CPS,3,3,0.99,3
985823071,REVISION 30CPS,3,3,0.99,1
985910379,PREP CREMA DEODORANTE 35ML,3,3,0.99,3
986129031,ENAVIT SUDAMIN 10+10BUST,3,3,0.99,3
986824973,ACETILCISTEINA ACT PLUS NAC600,3,3,0.99,2
986845889,RINOLYSYAL 15ML,3,3,0.99,9
987057775,V OTOACT PLUS 100ML,3,3,0.99,1
987715291,ARTENNUA 90CPS,3,3,0.99,4
987879929,TEOS 20CPS,3,3,0.99,2
988024586,CICAPLAST BAUME B5+ SPF50 40ML,3,3,0.99,5
