tenant,sku,nome,click7g,spesa7,spesa_gg,vend_ten_7g,rete7,rete30,pos,stock,marg_eur,categoria
Farmacia Procaccini,984505279,REKORDSAN GUANCIALE MEM SIRIO,1,0.3,0.05,0,si,si,3,0,7.57,vende-rete
Farmacia Procaccini,987413061,CELL PROTECT OLIO INVISIBILE,1,0.3,0.05,0,no,si,30,0,5.90,no-vend-7g
Farmacia Procaccini,985830746,TOLERIANE FOAMING GEL CLEANSER,1,0.3,0.05,0,no,si,22,0,4.92,no-vend-7g
Farmacia Procaccini,943330264,MASSIGEN SONNO GUMMY 60CARAM,1,0.3,0.05,0,si,si,20,0,0.94,vende-rete
Farmacia Procaccini,936065059,DERMOVITAMINA CALM CR IDR250ML,1,0.3,0.05,0,no,si,15,7,10.70,no-vend-7g
Farmacia Procaccini,922262567,NEURONEV COMPLEX 30CPR,1,0.3,0.05,0,no,si,5,0,4.34,no-vend-7g
Farmacia Procaccini,950836647,AVENE HYALURON A PROC CONT15ML,1,0.3,0.05,0,no,si,1,4,8.67,no-vend-7g
Farmacia Procaccini,922553072,DRENAGILL30 30CPR,1,0.3,0.05,0,no,si,3,0,2.74,no-vend-7g
Farmacia Procaccini,980254510,FITOSTIMOLINE PLUS CREMA 32G,1,0.3,0.05,0,si,si,1,32,1.98,vende-rete
Farmacia Procaccini,976399788,SERENITY PANN MUT CLASS EX XL,1,0.3,0.05,0,no,si,3,0,2.57,no-vend-7g
Farmacia Procaccini,990007193,DEO CLINICAL AEROSOL 125ML 26,1,0.3,0.05,0,no,si,3,6,1.64,no-vend-7g
Farmacia Procaccini,947244618,CAROBIN PET FORTE 30CPR,1,0.3,0.05,0,no,si,8,0,3.86,no-vend-7g
Farmacia Procaccini,983173461,SERENITY SAG SD SENS PLUS 30PZ,1,0.3,0.05,0,no,si,1,0,3.82,no-vend-7g
Farmacia Procaccini,975190101,PIC VEDO FAMILY TERMO DIGITALE,1,0.3,0.05,0,no,si,18,4,0.99,no-vend-7g
Farmacia Procaccini,985000571,ANTHELIOS LATTE 50+ PPACK 75ML,1,0.3,0.05,0,no,si,99,2,2.06,no-vend-7g
Farmacia Procaccini,908648708,DELTACRIN SHAMPOO PHARCOS 250M,1,0.3,0.05,0,si,si,9,0,3.01,vende-rete
Farmacia Procaccini,930214527,"EMOFORM PLAKOUT ACT0,12% COLLU",1,0.3,0.05,0,si,si,14,0,0.97,vende-rete
Farmacia Procaccini,984791956,LEVELIPDUO PLUS 28STICK,1,0.3,0.05,0,si,si,2,0,2.71,vende-rete
Farmacia Procaccini,924570169,XIPHASE SHAMPOO 250ML,1,0.3,0.05,0,no,si,15,0,4.24,no-vend-7g
Farmacia Procaccini,947073716,RILASTIL XEROLACT BALS SP400ML,1,0.3,0.05,0,si,si,7,69,2.09,vende-rete
Farmacia Procaccini,935057467,"BIOKAP NUTRICDEL 4,0 CAST NAT",1,0.3,0.05,0,no,si,6,0,1.19,no-vend-7g
Farmacia Procaccini,922554720,LYSI OMEGA3 LIQUID LIM 240ML,1,0.3,0.05,0,no,si,4,0,7.56,no-vend-7g
Farmacia Procaccini,990374326,ZEFYROS GHIMAS 60CPS,1,0.3,0.05,0,no,si,3,0,7.17,no-vend-7g
Farmacia Procaccini,941971475,BIOCLIN DEO INTIMATE SPR PROF,1,0.3,0.05,0,si,si,2,2,1.67,vende-rete
Farmacia Procaccini,021528157,"TAMARINE*MARMEL260G 80+3,9MG/G",1,0.3,0.05,0,si,si,99,1,4.28,vende-rete
Farmacia Procaccini,978835433,ACUTON 120CPS,1,0.3,0.05,0,si,si,1,0,3.24,vende-rete
Farmacia Procaccini,921115820,DERCOS SH DOLCEZZA MIN 400ML,1,0.3,0.05,0,no,si,99,6,2.91,no-vend-7g
Farmacia Procaccini,984833602,NEOVADIOL PERI&POST CONT NEW,1,0.3,0.05,0,si,si,11,2,4.43,vende-rete
Farmacia Procaccini,905025870,GHEE BIO BURRO CHIARIFICAT220G,1,0.3,0.05,0,no,si,22,0,1.50,no-vend-7g
Farmacia Procaccini,935633964,LONGLIFE CARCIOFO 60CPS VEG,1,0.3,0.05,0,no,si,5,0,2.19,no-vend-7g
Farmacia Procaccini,980455935,PASTA HOFFMANN SELLA NAT 75ML,1,0.3,0.05,0,si,si,99,1,0.88,vende-rete
Farmacia Procaccini,940005655,PANTAVIS METABOLICO 30CPR,1,0.3,0.05,0,no,si,9,0,5.06,no-vend-7g
Farmacia Procaccini,984910568,PRIMECOL 30CPR GASTRORESISTENT,1,0.3,0.05,0,no,si,1,0,2.95,no-vend-7g
Farmacia Procaccini,983533821,XERIAL 30 GEL CREME 75ML,1,0.3,0.05,0,no,si,22,0,2.80,no-vend-7g
Farmacia Procaccini,040657025,FASTUM ANTIDOLORIFICO*1% 100G,1,0.3,0.05,0,si,si,19,2,2.13,vende-rete
Farmacia Procaccini,951866375,DRENLIFE LINFODREN SUMM30STICK,1,0.3,0.05,0,no,si,2,0,2.34,no-vend-7g
Farmacia Procaccini,985772704,PEDIAKID 22 VITAMINE/OLIGOELEM,1,0.3,0.05,0,no,si,2,0,2.18,no-vend-7g
Farmacia Procaccini,926876766,FLEBOMIX CREMA GEL 100ML,1,0.3,0.05,0,no,si,6,0,2.18,no-vend-7g
Farmacia Procaccini,951677626,PHYSIOMANCE BROMELAINE 60CPS,1,0.3,0.05,0,no,si,1,0,4.14,no-vend-7g
Farmacia Procaccini,926831153,HELIONORM ORAL 30CPR,1,0.3,0.05,0,no,si,3,0,3.55,no-vend-7g
Farmacia Procaccini,935307114,FLUVADIN PLUS OVULI VAG 10PZ,1,0.3,0.05,0,no,si,99,0,3.65,no-vend-7g
Farmacia Procaccini,934408663,BIOTHYMUS AC ACT D SH VOL200ML,1,0.3,0.05,0,no,si,99,1,1.82,no-vend-7g
Farmacia Procaccini,904552611,NEBULA M2000+MASCHERA+RINOWASH,1,0.3,0.05,0,no,si,16,27,22.65,no-vend-7g
Farmacia Procaccini,987848280,PSIFLOGO 30CPS,1,0.3,0.05,0,no,si,3,0,3.19,no-vend-7g
Farmacia Procaccini,988027266,PARODONTAX BIPACK CLASS 2X75ML,1,0.3,0.05,0,si,si,11,15,0.71,vende-rete
Farmacia Procaccini,900240235,MELANIDIN PLUS EUPIGMENT 50ML,1,0.3,0.05,0,si,si,11,0,3.98,vende-rete
Farmacia Procaccini,935982809,COLIMIL HUMANA 30ML,1,0.3,0.05,0,si,si,31,6,2.79,vende-rete
Farmacia Procaccini,021852013,COCARNITIN B12*OS 10FL 10ML,1,0.3,0.05,0,si,si,17,11,1.51,vende-rete
Farmacia Procaccini,990809004,VERSET ELIAN EDP 50ML,1,0.3,0.05,0,si,si,3,0,2.59,vende-rete
Farmacia Procaccini,951231998,DOLINPEA 30CPR RIVESTITE,1,0.3,0.05,0,no,si,14,0,6.55,no-vend-7g
Farmacia Procaccini,934417445,LIPOLIPASE CREMAGEL 150ML,1,0.3,0.05,0,si,si,99,0,7.73,vende-rete
Farmacia Procaccini,900533757,CLOREXYDERM SHAMPOO 250ML,1,0.3,0.05,0,no,si,14,0,2.70,no-vend-7g
Farmacia Procaccini,923302374,GEHWOL MED CREMA ANTI CALLOSIT,1,0.3,0.05,0,no,si,23,0,1.76,no-vend-7g
Farmacia Procaccini,940095348,SARCOACT 30BUST,1,0.3,0.05,0,no,si,99,0,6.98,no-vend-7g
Farmacia Procaccini,980644241,MARKEUTICALS FOCAL 45CPR,1,0.3,0.05,0,no,si,4,0,9.45,no-vend-7g
Farmacia Procaccini,970487308,ACTIFLOG 20CPR,1,0.3,0.05,0,no,si,9,0,2.32,no-vend-7g
Farmacia Procaccini,926517234,VIGORSKIN K1 PLUS CREMA 100ML,1,0.3,0.05,0,si,si,7,0,1.58,vende-rete
Farmacia Procaccini,924274083,REDERMIC RETINOL OCCHI 15ML,1,0.3,0.05,0,no,si,4,3,4.02,no-vend-7g
Farmacia Procaccini,985516297,REVILLA 320 30PRL,1,0.3,0.05,0,no,si,4,0,4.41,no-vend-7g
Farmacia Procaccini,973953944,PROSTAMOL 60CPS MOLLI,1,0.3,0.05,0,si,si,21,6,6.81,vende-rete
Farmacia Procaccini,933784783,LONGLIFE ZINC 25MG 100CPR,1,0.3,0.05,0,no,si,34,0,3.37,no-vend-7g
Farmacia Procaccini,924546221,CARPINO BI 500ML ANALCO GEM10+,1,0.3,0.05,0,si,si,1,0,5.67,vende-rete
Farmacia Procaccini,949993455,HDLGELAR FREE 45CPS,1,0.3,0.05,0,no,si,12,0,5.36,no-vend-7g
Farmacia Procaccini,972766873,FLORENTERO ACT 120CPR,1,0.3,0.05,0,no,si,99,0,0.00,no-vend-7g
Farmacia Procaccini,981937360,KERACNYL GEL DETERGENTE 400ML,1,0.3,0.05,0,no,si,4,2,2.01,no-vend-7g
Farmacia Procaccini,934488154,BIOKAP B BALSAMO NUTR DISTRIC,1,0.3,0.05,0,si,si,19,0,2.25,vende-rete
Farmacia Procaccini,950453997,CITICOOS 1000 15FL,1,0.3,0.05,0,si,si,7,0,6.90,vende-rete
Farmacia Procaccini,935836751,ACNIBEN REPAIR IDRATANTE GEL,1,0.3,0.05,0,no,si,29,0,4.89,no-vend-7g
Farmacia Procaccini,984632190,PROGAMET 30CPR GASTROPROTETTE,1,0.3,0.05,0,no,si,1,0,4.18,no-vend-7g
Farmacia Procaccini,984767537,CICAPLAST BAUME B5+ 40ML,1,0.3,0.05,0,si,si,99,6,1.93,vende-rete
Farmacia Procaccini,981152756,TADIOR 20CPS,1,0.3,0.05,0,no,si,2,0,3.75,no-vend-7g
Farmacia Procaccini,984146047,POLASE HYDRATION LAMPONE12BUST,1,0.3,0.05,0,no,si,4,4,1.39,no-vend-7g
Farmacia Procaccini,951123607,OLIO RICINO PURO 200ML,1,0.3,0.05,0,no,si,3,0,1.98,no-vend-7g
Farmacia Procaccini,990647455,PHYSIOMANCE GASTRO PROT 60CPS,1,0.3,0.05,0,no,si,1,0,6.39,no-vend-7g
Farmacia Procaccini,988027847,XERIAL GOMMAGE CORPS 100G,1,0.3,0.05,0,no,si,1,2,2.10,no-vend-7g
Farmacia Procaccini,981042904,RILASTIL SUN PPT 50+ CR VEL,1,0.3,0.05,0,no,si,6,4,1.70,no-vend-7g
Farmacia Procaccini,950150704,BIOSCALIN TOTAL CARE SH V200ML,1,0.3,0.05,0,no,si,4,4,1.85,no-vend-7g
Farmacia Procaccini,942260338,EUPH COLORPRO XD610 BION S,1,0.3,0.05,0,no,si,99,2,1.41,no-vend-7g
Farmacia Procaccini,975922218,COLLAGENE BEAUTY 10STICK MONOD,1,0.3,0.05,0,no,si,6,0,1.57,no-vend-7g
Farmacia Procaccini,940085160,FOTOULTRA ACTIVE UNIFY SPF50+,1,0.3,0.05,0,si,si,6,0,4.15,vende-rete
Farmacia Procaccini,990648255,TREHAPAN GOCCE OCULARI 10ML,1,0.3,0.05,0,no,si,2,0,2.63,no-vend-7g
Farmacia Procaccini,987411749,RILASTIL SUN SPF50+ AGE REP CO,1,0.3,0.05,0,no,si,2,3,2.18,no-vend-7g
Farmacia Procaccini,951246901,UTIVAL 28BUST,1,0.3,0.05,0,si,si,6,0,5.47,vende-rete
Farmacia Procaccini,943245302,EUPH FILLER CR LIFTING,1,0.3,0.05,0,no,si,2,2,5.03,no-vend-7g
Farmacia Procaccini,051342018,DICLOREUMACT*GEL 60G 20MG/G,1,0.3,0.05,0,no,si,1,10,1.81,no-vend-7g
Farmacia Procaccini,986963205,SCUDOVARIS GAMB CLASS STD K1 5,1,0.3,0.05,0,no,si,1,0,9.51,no-vend-7g
Farmacia Procaccini,950497952,TRICOVEL MIRNA EXOSOMES GEL4TU,1,0.3,0.05,0,si,si,13,0,10.91,vende-rete
Farmacia Procaccini,940372675,SIDEREMIL VITA ORO 30BUST,1,0.3,0.05,0,no,si,20,0,2.53,no-vend-7g
Farmacia Procaccini,932751480,FOTOKER ORALE PHARCOS 30CPR,1,0.3,0.05,0,no,si,18,0,6.14,no-vend-7g
Farmacia Procaccini,951388848,FLORENTERO COMPLEX SOSP 60ML,1,0.3,0.05,0,no,si,4,0,3.23,no-vend-7g
Farmacia Procaccini,984023046,NOCOLESTENO' 60CPS,1,0.3,0.05,0,si,si,4,0,7.23,vende-rete
Farmacia Procaccini,934885942,PERNALIFE DOL GEL 125ML,1,0.3,0.05,0,si,si,1,0,2.88,vende-rete
Farmacia Procaccini,983534544,LIPOSKIN MASK PHARCOS 15BUST,1,0.3,0.05,0,no,si,2,0,3.99,no-vend-7g
Farmacia Procaccini,947236853,IPPOCASTANO GEL 100ML,1,0.3,0.05,0,no,si,19,0,2.61,no-vend-7g
Farmacia Procaccini,951501408,ADCMYFOLIC 30CPR,1,0.3,0.05,0,si,si,8,0,3.92,vende-rete
Farmacia Procaccini,989669787,DEFENCE SUN 30 LATTE SPR 200ML,1,0.3,0.05,0,no,si,99,4,3.40,no-vend-7g
Farmacia Procaccini,979276577,TRIDERM AK TRATT PREV SPF50+,1,0.3,0.05,0,no,si,4,4,3.37,no-vend-7g
Farmacia Procaccini,987747831,LIFTACTIV B3 CREMA NTT RETINOL,1,0.3,0.05,0,no,si,3,2,5.22,no-vend-7g
Farmacia Procaccini,950089247,OMRON NEBULIZZATORE C101 ESSEN,1,0.3,0.05,0,no,si,6,2,8.66,no-vend-7g
Farmacia Procaccini,950072746,LAMUSELAB SUN SKIN CONTROL50ML,1,0.3,0.05,0,no,si,1,4,3.79,no-vend-7g
Farmacia Procaccini,935131211,MAALOX REFLURAPID 40CPR MASTIC,1,0.3,0.05,0,si,si,20,4,1.17,vende-rete
Farmacia Procaccini,941182394,FARMEX TRAV ASSORB 80X180 15PZ,1,0.3,0.05,0,si,si,9,0,1.53,vende-rete
Farmacia Procaccini,951268768,QUIXX DELICATE SOL IRRIG NAS,1,0.3,0.05,0,si,si,21,0,1.38,vende-rete
Farmacia Procaccini,951383797,PRINCIPIUM MAGNESIO CB50+ 32BU,1,0.3,0.05,0,si,si,4,0,2.83,vende-rete
Farmacia Procaccini,985513062,FILLER BIOTIC 15ML,1,0.3,0.05,0,no,si,4,2,3.37,no-vend-7g
Farmacia Procaccini,990679072,VITAMINE MAXIMUM B 180PAST,1,0.3,0.05,0,no,si,2,0,3.60,no-vend-7g
Farmacia Procaccini,950150692,BIOSCALIN TOTAL CARE SH R200ML,1,0.3,0.05,0,no,si,1,8,1.25,no-vend-7g
Farmacia Procaccini,951506043,STOMEK SOSPENSIONE 30STICK,1,0.3,0.05,0,no,si,1,0,7.52,no-vend-7g
Farmacia Procaccini,982760377,GYNO PLUS 10CPS VAG,1,0.3,0.05,0,no,si,6,0,2.41,no-vend-7g
Farmacia Procaccini,980458374,OROZYME GEL IGIENE ORALE 70G,1,0.3,0.05,0,no,si,3,0,1.65,no-vend-7g
Farmacia Procaccini,939393171,PODIDRAL FAS CR RAGADI PIED100,1,0.3,0.05,0,no,si,6,0,2.48,no-vend-7g
Farmacia Procaccini,989332907,AVENE SOL FLUIDO A/IMPER SPF50,1,0.3,0.05,0,no,si,99,7,3.34,no-vend-7g
Farmacia Procaccini,903705919,EUDREN CREMA 200ML,1,0.3,0.05,0,si,si,2,0,3.98,vende-rete
Farmacia Procaccini,900976364,CALCIO MAGNESIO 500-250 MG,1,0.3,0.05,0,no,si,2,0,3.94,no-vend-7g
Farmacia Procaccini,990376598,POLIDENT APPARECCHI&BITE 66CPR,1,0.3,0.05,0,si,si,22,0,2.44,vende-rete
Farmacia Procaccini,950851939,NUTRIAGE GEL CREAM 50ML,1,0.3,0.05,0,no,si,13,0,10.37,no-vend-7g
Farmacia Procaccini,906068642,BURRO KARITE 100G,1,0.3,0.05,0,no,si,9,0,1.27,no-vend-7g
Farmacia Procaccini,989252325,CERAVE DETERGENTE IMPERF 473ML,1,0.3,0.05,0,no,si,35,1,4.27,no-vend-7g
Farmacia Procaccini,989056015,SUPRADYN RICARICA PRO B12 10FL,1,0.3,0.05,0,no,si,99,7,1.69,no-vend-7g
Farmacia Procaccini,951098540,MYOCARE 30BUST,1,0.3,0.05,0,si,si,2,0,4.03,vende-rete
Farmacia Procaccini,042028023,OKITASK*OS GRAT 20BUST 40MG,1,0.3,0.05,0,si,si,99,26,1.85,vende-rete
Farmacia Procaccini,926574613,CH ANTIZANZ ULTRASUONI SPINA,1,0.3,0.05,0,si,si,4,2,1.84,vende-rete
Farmacia Procaccini,925833105,LAUFWUNDER CR PELLI SCREP 75ML,1,0.3,0.05,0,no,si,10,0,2.02,no-vend-7g
Farmacia Procaccini,934425784,DANASE 20CPR,1,0.3,0.05,0,si,si,5,0,2.01,vende-rete
Farmacia Procaccini,980287054,DEFENCE HAIR BALSAMO NUTR200ML,1,0.3,0.05,0,no,si,1,9,0.98,no-vend-7g
Farmacia Procaccini,924994736,PULSOXIMETRO OXY-3,1,0.3,0.05,0,no,si,4,0,4.34,no-vend-7g
Farmacia Procaccini,037899010,"FROBEN RAFFREDDORE*15ML 0,05%",1,0.3,0.05,0,no,si,4,12,1.17,no-vend-7g
Farmacia Procaccini,921670093,ZETAMAX PUMP SPRAY 300ML,1,0.3,0.05,0,no,si,4,0,4.09,no-vend-7g
Farmacia Procaccini,984623874,TONIMER PHYSIO MONOD 60FL 5ML,1,0.3,0.05,0,no,si,4,4,1.12,no-vend-7g
Farmacia Procaccini,947417073,RIDONNA RELAX 30CPR,1,0.3,0.05,0,no,si,3,0,2.76,no-vend-7g
Farmacia Procaccini,971192834,VERGA D'ORO ESTR INTEGR 200ML,1,0.3,0.05,0,no,si,9,0,2.61,no-vend-7g
Farmacia Procaccini,921394235,NATURAFLORA PLUS 60CPS VEG,1,0.3,0.05,0,si,si,18,0,4.45,vende-rete
Farmacia Procaccini,986967533,XAMAMINA REFLUSSO 0-12 200ML,1,0.3,0.05,0,si,si,2,2,2.17,vende-rete
Farmacia Procaccini,936169503,AURASTOP 20BUST,1,0.3,0.05,0,no,si,2,0,2.90,no-vend-7g
Farmacia Procaccini,921383295,TIODET-ZNP DETERGENTE 200ML,1,0.3,0.05,0,si,si,5,0,2.79,vende-rete
Farmacia Procaccini,933080196,RESVIS FLUID XR BIOFUTURA 12BU,1,0.3,0.05,0,no,si,99,2,4.10,no-vend-7g
Farmacia Procaccini,981042981,RILASTIL XEROLACT PB BALS400ML,1,0.3,0.05,0,no,si,6,0,4.76,no-vend-7g
Farmacia Procaccini,023907025,BETADINE*SOLUZ VAG 5FL+5F+5CAN,1,0.3,0.05,0,si,si,99,2,3.27,vende-rete
Farmacia Procaccini,026630020,"IRIDINA DUE*COLL 10ML 0,5MG/ML",1,0.3,0.05,0,si,si,14,35,0.54,vende-rete
Farmacia Procaccini,983702301,SINTOS FORTE 15CPS,1,0.3,0.05,0,si,si,1,0,5.04,vende-rete
Farmacia Procaccini,970430070,ETAS CORPO 200ML,1,0.3,0.05,0,no,si,6,0,4.61,no-vend-7g
Farmacia Procaccini,984645059,CERAVE SIERO ANTI SEGNI RETIN,1,0.3,0.05,0,si,si,9,5,2.23,vende-rete
Farmacia Procaccini,950906418,MYO AC COMPRESSE PHARCOS 30CPR,1,0.3,0.05,0,si,si,4,0,3.31,vende-rete
Farmacia Procaccini,982138671,NKLIFE AHCC 150ML,1,0.3,0.05,0,si,si,2,0,7.39,vende-rete
Farmacia Procaccini,951091875,EUCERIN DC DET PURIF 400ML,1,0.3,0.05,0,no,si,21,0,3.48,no-vend-7g
Farmacia Procaccini,930212131,PENTA U10 CREMA 1000ML,1,0.3,0.05,0,si,si,19,0,3.54,vende-rete
Farmacia Procaccini,942845607,LIVEDREN CREMA 200ML,1,0.3,0.05,0,no,si,2,0,2.43,no-vend-7g
Farmacia Procaccini,987718792,ORALB POWER ORAL CENTER+IO6,1,0.3,0.05,0,no,si,5,0,27.47,no-vend-7g
Farmacia Procaccini,982593170,"OCUTEARS HYDRO+ 0,4% 15X0,35ML",1,0.3,0.05,0,si,si,3,0,1.51,vende-rete
Farmacia Procaccini,989052788,TRIVIS UV 30CPS,1,0.3,0.05,0,no,si,2,0,4.74,no-vend-7g
Farmacia Procaccini,980248987,COLASIL 30CPS,1,0.3,0.05,0,si,si,2,0,4.80,vende-rete
Farmacia Procaccini,978691703,KAMINOX SCIROPPO 60ML,1,0.3,0.05,0,no,si,1,0,5.40,no-vend-7g
Farmacia Procaccini,926888785,VERTIGOVAL 20CPR,1,0.3,0.05,0,si,si,36,0,4.18,vende-rete
Farmacia Procaccini,986913756,SEBIUM HYDRA CLEANSER 200ML,1,0.3,0.05,0,no,si,3,1,1.92,no-vend-7g
Farmacia Procaccini,977367921,NUTRIVA DIUREVAL 15STICK PACK,1,0.3,0.05,0,no,si,1,0,2.41,no-vend-7g
Farmacia Procaccini,989888983,FLAMINAL FORTE 25G,1,0.3,0.05,0,no,si,2,0,5.95,no-vend-7g
Farmacia Procaccini,905169722,ULTRA TAN 30CPS,1,0.3,0.05,0,si,si,8,0,1.69,vende-rete
Farmacia Procaccini,926084880,MICOCORD 70CPS,1,0.3,0.05,0,no,si,7,0,7.48,no-vend-7g
Farmacia Procaccini,951175900,SNS1 OP 30BUST,1,0.3,0.05,0,no,si,3,0,7.57,no-vend-7g
Farmacia Procaccini,902711581,DINABASE 7 ADESIVO DENTIERE,1,0.3,0.05,0,no,si,18,0,1.68,no-vend-7g
Farmacia Procaccini,949869349,MACULVIST 20CPR RIVESTITE,1,0.3,0.05,0,no,si,7,0,2.31,no-vend-7g
Farmacia Procaccini,909814194,INTIMO VEGETALE 250ML,1,0.3,0.05,0,no,si,1,0,1.23,no-vend-7g
Farmacia Procaccini,952094567,PROBIOBENE JUNIOR 18STICK ORO,1,0.3,0.05,0,no,si,1,0,2.72,no-vend-7g
Farmacia Procaccini,974656480,PARODONTAX CP COOL MINT 75ML,1,0.3,0.05,0,no,si,9,12,1.07,no-vend-7g
Farmacia Procaccini,951358353,DORSOLOMBOTECH CORSETTO TG 4,1,0.3,0.05,0,no,si,3,0,23.67,no-vend-7g
Farmacia Procaccini,952110272,BIONIKE SHINE ON NC BALS RISTR,1,0.3,0.05,0,no,si,5,3,1.68,no-vend-7g
Farmacia Procaccini,975536549,ANTHELIOS ULTRA FLUIDO30+ 50ML,1,0.3,0.05,0,no,si,16,3,2.26,no-vend-7g
Farmacia Procaccini,971671464,EFFACLAR ACQUA MICELL P G400ML,1,0.3,0.05,0,no,si,5,1,3.72,no-vend-7g
Farmacia Procaccini,951050653,SAUGELLA UNDER THE SKIN BUNDLE,1,0.3,0.05,0,no,si,2,7,1.56,no-vend-7g
Farmacia Procaccini,942819412,FERTASK 20STICK PACK,1,0.3,0.05,0,si,si,2,0,3.24,vende-rete
Farmacia Procaccini,973292992,BIONIKE DEFENCE HAIR SH D200ML,1,0.3,0.05,0,no,si,10,18,0.97,no-vend-7g
Farmacia Procaccini,939224806,NEW ASPIRET RESTYLESHED 1L,1,0.3,0.05,0,si,si,2,0,17.97,vende-rete
Farmacia Procaccini,972592428,HEMA PLEX 60CPS,1,0.3,0.05,0,si,si,1,0,3.65,vende-rete
Farmacia Procaccini,979323060,TRIDERM INTIMATE ANTIBATT500ML,1,0.3,0.05,0,no,si,4,4,1.36,no-vend-7g
Farmacia Procaccini,978862326,ANTHELIOS SHAKA SPRAY 30 200ML,1,0.3,0.05,0,si,si,99,0,4.64,vende-rete
Farmacia Procaccini,990648166,IRYLAC LACRIMA ARTIFICIALE10ML,1,0.3,0.05,0,no,si,1,0,1.74,no-vend-7g
Farmacia Procaccini,903529016,VARISAN LUILEI COT1520 ADNE4,1,0.3,0.05,0,si,si,2,0,3.62,vende-rete
Farmacia Procaccini,902092143,SECURDRAIN VIA SACCA UR750 T10,1,0.3,0.05,0,si,si,2,0,2.54,vende-rete
Farmacia Procaccini,951128154,ERACISTAL BIOTIC 5BUST,1,0.3,0.05,0,si,si,2,0,3.56,vende-rete
Farmacia Procaccini,984867212,RILASTIL OLIO DERMATOL SPF50+,1,0.3,0.05,0,si,si,12,12,1.66,vende-rete
Farmacia Procaccini,982932194,SILIPLUS 30CPR,1,0.3,0.05,0,no,si,3,0,3.72,no-vend-7g
Farmacia Procaccini,902520182,GRANI DI LUNGA VITA 33G,1,0.3,0.05,0,si,si,6,0,1.22,vende-rete
Farmacia Procaccini,988303071,DENTIHEX GEL DENTALE ADES C/G,1,0.3,0.05,0,no,si,1,0,2.10,no-vend-7g
Farmacia Procaccini,950069916,RILASTIL DIFESA TRATT A/ROSSOR,1,0.3,0.05,0,si,si,4,5,2.79,vende-rete
Farmacia Procaccini,933869974,LITOCALC 30BUST,1,0.3,0.05,0,no,si,3,0,2.52,no-vend-7g
Farmacia Procaccini,935569133,SOLIVEN 30CPS BIOSLINE,1,0.3,0.05,0,si,si,6,0,2.18,vende-rete
Farmacia Procaccini,050039015,"KETAZED*COLL FL 10ML 0,25MG/ML",1,0.3,0.05,0,si,si,9,0,2.55,vende-rete
Farmacia Procaccini,950837219,KIJIMEA FLORACARE 10CPS,1,0.3,0.05,0,no,si,6,0,2.85,no-vend-7g
Farmacia Procaccini,950836205,MAVOSTEN MAGNESIO 60CPS,1,0.3,0.05,0,no,si,4,0,0.00,no-vend-7g
Farmacia Procaccini,980459034,VIDERMINA LUBRIPIU' CR INTIMA,1,0.3,0.05,0,si,si,2,5,3.62,vende-rete
Farmacia Procaccini,935057315,"BIOKAP NUTRIC 6,0 BIO TABACCO",1,0.3,0.05,0,si,si,24,0,1.31,vende-rete
Farmacia Procaccini,938751649,PSORISDIN SHAMPOO,1,0.3,0.05,0,no,si,24,0,3.17,no-vend-7g
Farmacia Procaccini,951047354,PSIPROTO MAMMA100CPR GASTRORES,1,0.3,0.05,0,no,si,5,0,8.28,no-vend-7g
Farmacia Procaccini,903980530,AVENE ACQUA TERMALE SPR 150ML,1,0.3,0.05,0,no,si,99,1,1.04,no-vend-7g
Farmacia Procaccini,924297930,IPPOCASTANO LIQ ANAL GEMMO 10+,1,0.3,0.05,0,no,si,5,0,1.90,no-vend-7g
Farmacia Procaccini,923744256,IMMUNOTHER 30 BUSTE,1,0.3,0.05,0,no,si,2,0,6.31,no-vend-7g
Farmacia Procaccini,951571684,DERCOS TECHNIQUE SH ENERG REF,1,0.3,0.05,0,si,si,15,0,1.82,vende-rete
Farmacia Procaccini,908579004,KLOMA STIM LOZIONE 100ML,1,0.3,0.05,0,si,si,1,0,5.55,vende-rete
Farmacia Procaccini,950150589,BIOSCALIN MENOPAUSA SH RI400ML,1,0.3,0.05,0,no,si,7,6,1.73,no-vend-7g
Farmacia Procaccini,980771974,CLX WIPES 40SALV,1,0.3,0.05,0,no,si,2,0,2.30,no-vend-7g
Farmacia Procaccini,987646421,VIDERMINA CLX 500ML SP,1,0.3,0.05,0,no,no,99,1,2.75,MORTO
Farmacia Procaccini,909731996,GLORIAM GAMB STRO361 MX MLU,1,0.3,0.05,0,no,no,99,0,16.76,MORTO
Farmacia Procaccini,931375695,PAPAVERO SOAVE PROFUMO 100ML,1,0.3,0.05,0,no,no,7,3,12.97,MORTO
Farmacia Procaccini,940885837,AVENE BODY BALSAMO CORPO 250ML,1,0.3,0.05,0,no,no,1,4,3.29,MORTO
Farmacia Procaccini,970139768,BARINUTRICS CALCIO AR/LIM90CPR,1,0.3,0.05,0,no,no,4,0,4.80,MORTO
Farmacia Procaccini,951331558,RILASTIL ACNESTIL GEL DET500ML,1,0.3,0.05,0,no,no,4,3,2.75,MORTO
Farmacia Procaccini,927178095,DERMON INTIMO ATTIVO 250ML,1,0.3,0.05,0,no,no,99,0,1.06,MORTO
Farmacia Procaccini,922591274,NUTRIVA JALURONICOS 30CPR,1,0.3,0.05,0,no,no,10,0,2.36,MORTO
Farmacia Procaccini,986460754,PAMPERS PROG MIDI 27PZ,1,0.3,0.05,0,no,no,1,0,2.08,MORTO
